"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Dozvoli količinu ispod 0"
"Allow Qty Below 0 and Notify Customer","Dozvoli količinu ispod 0 i obavijesti kupca"
"Backorders","Narudžbe na čekanju"
"By Fixed value","Prema fiksnoj vrijdnosti"
"By Percentage","Prema postotku"
"Can not specify product identifier for order item","Ne mogu odrediti identifikator proizvoda u toj stavci narudžbe"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Smanji količinu kad je napravljena narudžba"
"In Stock","In Stock"
"Inventory","Skladište"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Maksimalna dozvoljena količina u košarici"
"Minimum Qty Allowed in Shopping Cart","Minimalna dozvoljena količina u košarici"
"No Backorders","Bez narudžbi na čekanju"
"Notify for Quantity Below","Obavijesti za količinu ispod"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Pravilo cijene"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Opcije skladišta"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Zahtijevana količina za %s nije dostupna."
"The requested quantity is not available.","Zahtijevana količina nije dostupna."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","Prema fiksnoj vrijednosti"
"To Percentage","Prema postotku"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Ažuriraj proizvod"
