"%d Review(s)","%d Recenzija"
"%s Review(s)","%s Recenzija"
"(Posted on %s)","(Poslano %s)"
"1 star","       * (1)"
"2 stars","      * * (2)"
"3 stars","     * * * (3)"
"4 stars","    * * * * (4)"
"5 stars","   * * * * * (5)"
"Add New Review","Dodaj novu recenziju"
"Add Your Review","Dodajte vašu recenziju"
"Administrator","Administrator"
"All Reviews","Sve recenzije"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Jeste li sigurni da to želite učiniti?"
"Are you sure?","Jeste li sigurni?"
"Average Customer Rating","Prosječna ocjena"
"Average Customer Rating:","Prosječna ocjena:"
"Back","Natrag"
"Back to Main Product Info","Povratak na stranicu proizvoda"
"Back to My Reviews","Natrag na Moje recenzije"
"Back to Product Reviews","Natrag na Recenzije proizvoda"
"Be the first to review this product","Prvi recenzirajte ovaj proizvod"
"Created On","Kreirano"
"Customer","Kupac"
"Customer Reviews","Recenzije kupaca"
"Delete","Obriši"
"Delete Review","Obriši recenziju"
"Detailed Rating","Obriši ocjenjivanje"
"Edit Review '%s'","Ažuriraj recenziju '%s'"
"Guest","Gost"
"How do you rate this product?","Kako ocjenjujete ovaj proizvod?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Moje recenzije proizvoda"
"My Recent Reviews","Moje nedavne recenzije"
"Name","Ime"
"Name In Store","Name In Store"
"New Review","Nova recenzija"
"Nickname","Nadimak"
"Pending Reviews","Recenzije u tijeku"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Molimo odaberite proizvod"
"Please select one of each of the ratings above","Molimo odaberite jednu od ocjena"
"Posted By","Posted By"
"Price","Cijena"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Product Rating","Ocjena proizvoda"
"Product Rating:","Ocjena proizvoda:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Recenzije proizvoda"
"Product SKU","Proizvod SKU"
"Qty","Kol"
"Rating:","Ocjena:"
"Review","Recenzija"
"Review Details","Detalji recenzije"
"Review by %s","Recenzirao %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Spremi recenziju"
"Status","Status"
"Submit Review","Pošalji recenziju"
"Summary Rating","Ukupna ocjena"
"Summary of Review","Sažetak recenzije"
"Summary of Your Review","Sažetak vše recenzije"
"Summary of review","Sažetak recenzije"
"Title","Naslov"
"Type","Vrsta"
"Unable to post review. Please, try again later.","Nije moguće objavljivanje recenzije. Molimo pokušajte kasnije."
"Update status","Update status"
"View All Reviews","Prikaži sve recenzije"
"View Details","Prikaži detalje"
"Visible In","Vidljivo u"
"Websites","Websites"
"Write Your Own Review","Napišite vlastitu recenziju"
"You have submitted no reviews.","Niste poslali nijednu recenziju"
"You're reviewing: %s","Recenzirate: %s"
"Your Rating:","Vaša ocjena:"
"Your Review (submitted on %s):","Vaša recenzija (poslana %s):"
"Your review has been accepted for moderation","Vaša recenzija je primljena"
"OR","OR"
"My Product Reviews","My Product Reviews"
