"Abandoned carts","Napuštene košarice"
"Action","Action"
"Add to Cart","Dodaj u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to Wishlist","Dodaj u listu želja"
"Applied Coupon","Korišteni kupon"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Bestseleri"
"Bought from wishlists","Kupljeno iz liste želja"
"CSV","CSV"
"Carrier/Method","Carrier/Method"
"Carts","Košarice"
"Coupons","Kuponi"
"Created at","Kreirano u"
"Customer","Kupac"
"Customer Name","Ime kupca"
"Customer Tags","Kupčevi tagovi"
"Customers","Kupci"
"Customers Report","Izvještaj o kupcima"
"Customers Reviews","Recenzije kupaca"
"Customers Tags","Oznake proizvoda kupaca"
"Customers by number of orders","Kupci po broju narudžbi"
"Customers by orders total","Kupci po veličini narudžbi"
"Customers that have wishlist: %s%","Kupaca koji imaju listu želja: %s%"
"Day","Dan"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Detalj"
"Discounts","Popusti"
"Downloads","Downloads"
"Email","Email"
"Excel","Excel"
"First Name","Ime"
"Guest","Gost"
"Hits","Pogodaka"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Fakturirano"
"Items Ordered","Artikala naručeno"
"Items in Cart","Artikala u košarici"
"Last Name","Prezimr"
"Last Review","Zadnja recenzija"
"Link","Link"
"Low stock","Niske zalihe"
"Month","Mjesec"
"Most Viewed","Najviše pregledano"
"Most viewed","Najviše pregledano"
"Name","Naziv"
"New Accounts","Novi korisnički računi"
"Number Added","Broj dodanih"
"Number Fulfilled","Broj ispunjenih"
"Number Of Historical Uses","Number Of Historical Uses"
"Number Of Reviews","Broj recenzija"
"Number Of Uses","Broj korištenja"
"Number Purchased","Broj naručenih"
"Number Viewed","Broj pregledanih"
"Number of Items","Broj stavki"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Broj novih korisničkih računa"
"Number of Orders","Broj narudžbi"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Broj recenzija"
"Number of Total Tags","Broj svih tagova"
"Number of Unique Tags","Broj jedinstvenih tagova"
"Number of Views","Broj pregledavanja"
"Number of items bought from a wishlist: %s","Broj artikala kupljenih iz liste želja: %s"
"Number of times deleted","Broj brisanja"
"Number of times wishlists have been shared (emailed): %s","Broj koliko puta je lista želja dijeljena (email-om): %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Broj listi želja: %s"
"Offline Refunded","Refundirano offline"
"Online Refunded","Refundirano offline"
"Orders","Narudžbe"
"Out of stock","Nema na skladištu"
"Poducts Report","Izvještaj o proizvodima"
"Popular Tags","Popularni tagovi"
"Popularity","Popularnost"
"Price","Cijena"
"Product Name","Naziv proizvoda"
"Product Reviews","Recenzije proizvoda"
"Product Sku","SKU proizvoda"
"Product Tags","Tagovi proizvoda"
"Products","Proizvodi"
"Products Report","Izvještaj o proizvodima"
"Products Reviews","Recenzije svih proizvoda"
"Products Sold","Products Sold"
"Products Tags","Tagovi svih proizvoda"
"Products in carts","Proizvoda u svim košaricama"
"Purchases","Purchases"
"Quantity Ordered","Količina naručenih"
"Quantity of Items","Količina artikala"
"Rate","Rate"
"Recently Compared Products","Nedavno uspoređeni proizvodi"
"Recently Viewed Products","Nedavno pregledani proizvodi"
"Recently Viewed/Compared Products","Nedavno pregledani/uspoređeni proizvodi"
"Refunded","Refundirano"
"Reports","Izvještaji"
"Results","Rezultati"
"Revenue","Promet"
"Review","Recenzija"
"Reviews","Recenzije"
"Reviews for %s","Reviews for %s"
"Sales","Prodaja"
"Sales Report","Izvještaj o prodaji"
"Search Terms","Pojmovi za pretragu"
"Shipping","Isporuka"
"Shopping Cart","Potrošačka košarica"
"Show for Current","Pokaži za tekući"
"Stock Qty","Količina na skladištu"
"Submitted In","Poslano u"
"Submitted On","Poslano"
"Subtotal","Subtotal"
"Tag","Oznaka"
"Tag ""%s"" details","Tag ""%s"" detalji"
"Tag Detail","Detalj tag-a"
"Tag Name","Naziv tag-a"
"Tag use","Korištenje tag-a"
"Tags submited by %s","Tag-ovi poslani od %s"
"Tags submitted to %s","Tag-ovi poslani za %s"
"Tax","Porez"
"Tax Amount","Iznos poreza"
"Title","Naslov"
"Total","Ukupno"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Ukupno refundirano"
"Total Shipping","Ukupno dostava"
"Total Tags","Ukupno tag-ova"
"Total invoiced","Ukupno fakturirano"
"Total refunded","Ukupno refundirano"
"Updated at","Ažurirano"
"Visible In","Vidljivo u"
"Wishlist Report","Izvještaj o listama želja"
"Wishlist vs. Regular Order","Liste želja vs. klasična narudžba"
"Wishlists","Liste želja"
"Year","Godina"
"Your Recently Compared","Vaše nedavno uspoređeno"
"Your Recently Viewed","Vaše nedavno pregledano"
