"%s and greater","%s i više"
"Advanced Search","Napredna pretraga"
"All","Sve"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Automatski generirana mapa stranice"
"Catalog Advanced Search","Napredno pretraživanje kataloga"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Idi na početnu stranicu"
"Grid","Tablično"
"Home","Početna stranica"
"List","Redno"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Promijeni odrednice pretrage"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Popularni termini pretraživanja"
"Popular search terms","Popularni termini pretraživanja"
"Relevance","Relevance"
"Required Fields","Obavezna polja"
"Results","Rezultati"
"Search","Pretraži"
"Search Settings","Pojmovi za pretragu"
"Search Site","Pretraži stranice"
"Search Terms","Pojmovi za pretragu"
"Search Type","Search Type"
"Search entire store here...","Pretražite svu ponudu ovdje..."
"Search results for '%s'","Pretraži stranice za '%s'"
"Search results for: '%s'","Pretraži stranice za: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Nema pojmova za pretraživanje."
"Yes","Yes"
"You have to specify at least one search term","Morate odrediti bar jedan pojam za pretraživanje"
"Your search returns no results.","Nema rezultata vaše pretrage."
"up to %s","do %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
