"Actions","Műveletek"
"Are you sure?","Biztos benne?"
"Date Added","Hozzáadva"
"Error while marking as read. Please try again later.","Hiba a megjelölés során. Próbálja később."
"Error while marking. Please try again later.","Hiba a megjelölés során. Próbálja később."
"Error while removing. Please try again later.","Hiba a törlés során. Próbálja később."
"Last update","Utolsó frissítés"
"Mark as Read","Olvasottnak jelöl"
"Mark as read","Olvasottnak jelöl"
"Message","Üzenet"
"Message was successfully marked as read","Üzenet sikeresen olvasottnak jelölve"
"Message was successfully removed","Üzenet sikeresen törölve"
"Messages Inbox","Beérkezett üzenetek"
"Notifications","Figyelmeztetések"
"Please select messages","Válasszon ki üzeneteket"
"Read Details","Részletek"
"Remove","Eltávolít"
"Severity","Súlyosság"
"Show List","Lista mutatása"
"Show Toolbar","Eszközsáv mutatása"
"Total of %d record(s) were successfully marked as read","Összesen %d rekord sikeresen olvasottnak jelölve"
"Total of %d record(s) were successfully removed","Összesen %d rekord sikeresen eltávolítva"
"Unable to proceed. Please, try again","Végrehajtás sikertelen. Próbálja újra"
"Update frequency","Gyakoriság frissítése"
"Use HTTPS to get feed","Használjon HTTPS-t a visszajelzésekhez"
"critical","kritikus"
"major","lényeges"
"minor","nem lényeges"
"notice","figyelmeztetés"
