"Action","Művelet"
"Add Sitemap","Új oldaltérkép"
"Always","Mindig"
"CMS Pages Options","CMS oldalak beállítása"
"Categories Options","Kategória beállítások"
"Daily","Napi"
"Edit Sitemap","Oldaltérkép szerkesztése"
"Enabled","Engedélyezett"
"Error Email Recipient","Hiba e-mail címzett"
"Error Email Sender","Hiba e-mail küldő"
"Error Email Template","Hiba e-mail sablon"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Fájl ""%s"" nem menthető. Ellenőrizze hogy a könyvtár ""%s"" írható-e a webszerver által."
"Filename","Fájlnév"
"Frequency","Gyakoriság"
"Generate","Generálás"
"Generation Settings","Generálás beállítások"
"Google Sitemap","Google Oldaltérkép"
"Google Sitemap Section","Google Oldaltérkép beállítások"
"Hourly","Óránként"
"ID","ID"
"Last Time Generated","Utoljára létrehozva"
"Link for Google","Link a Google számára"
"Monthly","Havonta"
"Never","Soha"
"New Sitemap","Új oldaltérkép"
"Path","Útvonal"
"Please create the specified folder ""%s"" before saving the sitemap.","Hozza létre a könyvtárat ""%s"" mielőtt menti az oldaltérképet."
"Please define correct path","Határozzon meg helyes útvonalat"
"Please make sure that ""%s"" is writable by web-server.","Ellenőrizze hogy ""%s"" mappa írható-e a webszerver számára."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Csak angol abc (a-z vagy A-Z), számokat (0-9) vagy aláhúzást (_) használjon. Szünet és egyéb karakterek nincsenek engedélyezve."
"Priority","Prioritás"
"Priority must be between 0 and 1","Prioritás 0 és 1 között legyen"
"Products Options","Termék beállítások"
"Sitemap","Oldaltérkép"
"Sitemap ""%s"" has been successfully generated","Oldaltérkép ""%s"" sikeresen létrehozva"
"Sitemap generate Warnings","Oldaltérkép létrehozás figyelmeztetések"
"Sitemap was successfully deleted","Oldaltérkép sikeresen törölve"
"Sitemap was successfully saved","Oldaltérkép sikeresen mentve"
"Start Time","Kezdés ideje"
"Store View","Bolt nézet"
"This sitemap no longer exists","Ez az oldaltérkép nem létezik"
"Unable to find a sitemap to delete","Nem találom az törlendő oldaltérképet"
"Unable to find a sitemap to generate","Nem találom az oldaltérképet a generáláshoz"
"Unable to generate a sitemap","Nem tudom létrehozni az oldaltérképet"
"Valid values range from 0.0 to 1.0","Valós értékek határa 0.0-tól 1.0-ig"
"Weekly","Hetente"
"Yearly","Évente"
