"-- Please Select --","-- Kérem válasszon --"
"Add New Class","Új adóosztály"
"Add New Tax Rate","Új adó érték"
"Add New Tax Rule","Új adó szabály"
"Apply Discount On Prices Including Tax","Kedvezmények elfogadása bruttó árakon"
"Apply Tax After Discount","Adók érvényesítése kedvezmények után"
"Apply Tax On","Adók elfogadása:"
"Are you sure you want to do this?","Biztosan ezt szeretné?"
"Back","Vissza"
"CSV","CSV"
"Calculation","Kalkuláció"
"Catalog prices include tax","Katalógus árak tartalmazzák az adókat"
"Class Name","Osztály neve"
"Code","Kód"
"Country","Ország"
"Country/Region/Postal code combination","Ország/Régió/Irányítószám kombináció"
"County","Megye"
"Custom price if available","Egyedi ár ha elérhető"
"Customer Tax Class","Vásárló adó osztály"
"Customer Tax Class Information","Vásárló adó osztály információk"
"Customer Tax Classes","Vásárló adó osztályok"
"Default Country","Alapértelmezett ország"
"Default Post Code","Alapértelmezett Irányítószám"
"Default State","Alapértelmezett Régió"
"Default Tax Origin Calculation","Alapértelmezett adó forrás számítás"
"Delete Class","Osztály törlése"
"Delete Rate","Érték törlése"
"Delete Rule","Szabály törlése"
"Display","Mutatás"
"Display Cart/Order Prices","Kosár/Rendelés árak mutatása"
"Display Product Prices","Termék árak mutatása"
"Display Shipping Prices","Szállítási díjak mutatása"
"Display Zero Tax Subtotal","Adó nélküli végösszeg mutatása"
"Display full tax summary","Teljes adó összesítő mutatása"
"Edit Class","Osztály szerkesztése"
"Edit Class '%s'","Osztály szerkesztése '%s'"
"Edit Rule","Szabály szerkesztése"
"Edit Tax Rate","Adó érték szerkesztése"
"Error while deleting this class. Please try again later.","Hiba az osztály törlésekor. Próbálja meg később."
"Error while deleting this rate. Incorrect rate ID","Hiba az érték törlésekor.Inkorrekt érték ID"
"Error while deleting this rate. Please try again later.","Hiba az érték törlésekor. Próbálja meg később."
"Error while deleting this tax rule. Please try again later.","Hiba az adó szabály törlésekor. Próbálja meg később."
"Error while saving this rate. Please try again later.","Hiba az érték mentésekor. Próbálja meg később."
"Error while saving this tax class. Class with the same name ","Hiba az adó osztály mentésekor. Osztály ugyan ezzel a névvel "
"Error while saving this tax class. Please try again later.","Hiba az adó osztály mentésekor. Próbálja meg később."
"Error while saving this tax rule. Please try again later.","Hiba az adó szabály mentésekor. Próbálja meg később."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Hiba az adó szabály mentésekor. "
"Excl. Tax","Adó nélkül"
"Excl. Tax:","Adó nélkül:"
"Excluding tax","Adó nélkül"
"Export Tax Rates","Adó értékek exportálása"
"Ignored when 'Apply Tax After Discount' option is enabled","Érvénytelen ha az 'Adók érvényesítése kedvezmények után' opció engedélyezve van"
"Import / Export Tax Rates","Import / Export Adó értékek"
"Import Tax Rates","Adó értékek importálása"
"Inc. Tax","Adóval"
"Incl. Tax","Adóval"
"Incl. Tax:","Adóval:"
"Including and excluding tax","Adóval és adó nélkül"
"Including tax","Adóval"
"Incorrect rate Data","Hibás érték adat"
"Invalid data for tax rate calculation","Hibás adat az adó érték számításához"
"Invalid file format upload attempt","Érvénytelen fájl formátum feltöltési kisérlet"
"Invalid file upload attempt","Érvénytelen fájl feltöltési kisérlet"
"Manage Customer Tax Classes","Vásárlói adó osztályok kezelése"
"Manage Product Tax Classes","Termék adó osztályok kezelése"
"Manage Tax Rates","Adó értékek kezelése"
"Manage Tax Rules","Adó szabályok kezelése"
"Manage Tax Zones & Rates","Adó zónák és értékek kezelése"
"Name","Név"
"New Class","Új osztály"
"New Rule","Új szabály"
"New Tax Rate","Új adó érték"
"None","Egy sem"
"One of the country has invalid code.","Egyik országnak érvénytelen kódja van."
"Original price only","Csak eredeti ár"
"Please select Country","Válasszon országot"
"Please select County","Válasszon régiót"
"Please select State","Válasszon megyét"
"Priority","Prioritás"
"Product Tax Class","Termék adó osztály"
"Product Tax Class Information","Termék adó osztály adatok"
"Product Tax Classes","Termék adó osztályok"
"Rate","Érték"
"Reset","Alaphelyzet"
"Sales","Eladások"
"Save Class","Osztály mentése"
"Save Rate","Érték mentése"
"Save Rule","Szabály mentése"
"Shipping prices include tax","Szállítási költségek tartalmazzák az adót"
"Sort Order","Sorrend"
"State","Megye"
"State/Region","Megye/Régió"
"Tax","Adó"
"Tax Based On","Adó alapja"
"Tax Class for Shipping","Szállítás adó osztály"
"Tax Classes","Adó osztályok"
"Tax Identifier","Adó azonosító"
"Tax Rate","Adó érték"
"Tax Rate Information","Adó érték információ"
"Tax Rule Information","Adó szabály információk"
"Tax Rules","Adó szabályok"
"Tax Section","Adó beállítások"
"Tax Titles","Adó címek"
