"%d Review(s)","%d vélemény"
"%s Review(s)","%s vélemény"
"(Posted on %s)","(Létrehozva: %s)"
"1 star","1 csillag"
"2 stars","2 csillag"
"3 stars","3 csillag"
"4 stars","4 csillag"
"5 stars","5 csillag"
"Add New Review","Új vélemény írása"
"Add Your Review","Írja le véleményét"
"Administrator","Adminisztrátor"
"All Reviews","Összes vélemény"
"All reviews of customer `%s`","A vásárló összes véleménye: `%s`"
"Allow guests to write reviews","Vélemény írása vendégeknek is engedélyezve"
"Are you sure you want to do this?","Biztos benne hogy ezt akarja?"
"Are you sure?","Biztos benne?"
"Average Customer Rating","Átlagos vevői értékelés"
"Average Customer Rating:","Átlagos vevői értékelés:"
"Back","Vissza"
"Back to Main Product Info","Vissza a termék adatlaphoz"
"Back to My Reviews","Vissza a véleményeimhez"
"Back to Product Reviews","Vissza a termék véleményekhez"
"Be the first to review this product","Legyen Ön az első aki véleményt ír erről a termékről"
"Created On","Létrehozva"
"Customer","Vásárló"
"Customer Reviews","Vásárló véleményei"
"Delete","Törlés"
"Delete Review","Vélemény törlése"
"Detailed Rating","Részletes értékelés"
"Edit Review '%s'","Vélemény szerkesztése '%s'"
"Guest","Vendég"
"How do you rate this product?","Hogyan értékelné Ön ezt a terméket?"
"ID","ID"
"Manage Ratings","Értékelések kezelése"
"My Product Reviews","Véleményeim"
"My Recent Reviews","Legfrissebb véleményeim"
"Name","Név"
"Name In Store","Név a boltban"
"New Review","Új vélemény"
"Nickname","Becenév"
"Pending Reviews","Függő vélemények"
"Pending reviews","Függő vélemények"
"Pending reviews of customer `%s`","Függő vélemények `%s`"
"Please select a product","Válasszon ki egy terméket"
"Please select one of each of the ratings above","Kérem válasszon egyet az értékelések közül."
"Posted By","Létrehozta"
"Price","Ár"
"Product","Termék"
"Product Name","Termék neve"
"Product Rating","Termék értékelése"
"Product Rating:","Termék értékelése:"
"Product Review (submitted on %s):","Termék vélemény (létrehozva %s):"
"Product Reviews","Termék vélemények"
"Product SKU","Termék CSZ"
"Qty","Menny"
"Rating:","Értékelés:"
"Review","Vélemény"
"Review Details","Vélemény részletei"
"Review by %s","Véleményezte: %s"
"Reviews and Ratings","Vélemények és értékelések"
"SKU","CSZ"
"Save Review","Vélemény mentése"
"Status","Állapot"
"Submit Review","Vélemény elküldése"
"Summary Rating","Összesítő értékelés"
"Summary of Review","Vélemény összegzése"
"Summary of Your Review","Véleményének összegzése"
"Summary of review","Vélemény összegzése"
"Title","Cím"
"Type","Típus"
"Unable to post review. Please, try again later.","Sikertelen vélemény írás. Próbálja meg később."
"Update status","Állapot frissítése"
"View All Reviews","Összes vélemény megtekintése"
"View Details","Részletek"
"Visible In","Láthatóság"
"Websites","Weboldalak"
"Write Your Own Review","Írja le saját véleményét"
"You have submitted no reviews.","Ön még nem véleményezett egy terméket sem."
"You're reviewing: %s","Ön éppen véleményezi: %s"
"Your Rating:","Ön értékelése:"
"Your Review (submitted on %s):","Véleménye (létrehozva %s):"
"Your review has been accepted for moderation","Véleménye elfogadva, jelenleg moderáció alatt"
"OR","OR"
"My Product Reviews","My Product Reviews"
