" and "," és "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Teljes elérési út vagy relatív a magento telepítési mappájához, pl.: var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(Üresen hagyva, automatikusan generálva lesz)"
"(Leave empty for first spreadsheet)","(Hagyja üresen az első munkalaphoz)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(A termékek ehhez a bolthoz lesznek társítva, ha a 'store' mező értéke üres vagy hiányzik az import fájlból.)"
"(Shift-)Click or drag to change value","(Shift-)Click vagy drag az érték megváltoztatásához"
"(Starting with)","(Kezdés ezzel)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ha 'Nem', akkor csak a megjelölt mezők lesznek importálva. Megjelöléshez használja: 'oszlop1', 'column2', stb.)"
"(You have to increase php memory_limit before changing this value)","(Meg kell növelnie a php memory_limit értékét mielőtt megváltoztatja ezt a beállítást)"
"(\t for tab)","(\t for tab)"
"- Click on any of the time parts to increase it","- Kattintson bármelyik időre a növeléséhez"
"- Hold mouse button on any of the above buttons for faster selection.","- Tartsa lenyomva az egér gombját a fenti gombok valamelyikén a gyorsabb kiválasztáshoz."
"- Use the %s buttons to select month","- Használja a(z) %s gombokat a hónap kiválasztásához"
"- Use the %s, %s buttons to select year","- Használja a(z) %s, %s gombokat az év kiválasztásához"
"- or Shift-click to decrease it","- vagy shift-click a csökkentéséhez"
"- or click and drag for faster selection.","- vagy click & drag módszerrel úgy gyorsabb."
"API:","API:"
"About the calendar","A naptárról"
"Access Denied.","Hozzáférés megtagadva."
"Account Created in:","Fiók létrehozva itt:"
"Account Created on (%s):","Fiók létrehozva (%s):"
"Account Created on:","Fiók létrehozva:"
"Action","Művelet"
"Actions","Műveletek"
"Add","Add"
"Add Contents Path","Tartalom elérése"
"Add Field with URL:","Mező megadása URL-el:"
"Add Maintainer","Fő vezérlő hozzáadása"
"Add New Role","Új szerep hozzáadása"
"Add New Template","Új sablon hozzáadása"
"Add New User","Új felhasználó hozzáadása"
"Add PHP Extension dependency","PHP kiterjesztés kapcsolatok megadása"
"Add Package dependency","Csomag kapcsolatok megadása"
"Add Subpackage dependency","Alcsomag kapcsolatok megadása"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Cím típusa:"
"All","Mind"
"All Websites","Összes weboldal"
"All fields","Minden mező"
"Archive file name:","Archivált fájl:"
"Are you sure that you want to delete this template?","Biztos benne hogy eltávolítja ezt a sablont?"
"Are you sure that you want to strip tags?","Biztos benne hogy szétbontja a címkéket?"
"Attribute Set Name:","Termékcsoport neve:"
"Attributes","Jellemzők"
"Available Products","Elérhető termékek"
"Big Image","Nagy kép"
"Billing Address","Számlázási cím"
"Bundle Items","Kötegelt termékek"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Kötegelt termék, dinamikus árakkal, nem használhat egyedi opciókat. Opciók nem lesznek elmentve."
"CSV / Tab separated","CSV / Tab formátum"
"Card Verification Number","Kártya ellenőrző szám"
"Catalog","Katalógus"
"Channel","Csatorna"
"Channel:","Csatorna:"
"Choose Store View","Válasszon bolt nézetet"
"Client Session timeout (sec.)","Ügyfél folyamat időtúllépés (mp.)"
"Close","Bezár"
"Comments History","Megjegyzés történet"
"Confirmed email:","Visszaigazolt e-mail:"
"Connect with the Magento Community","Lépjen kapcsolatba a magento közösséggel"
"Contents","Tartalomjegyzék"
"Country:","Ország:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","Hitelkártya szám"
"Credit Card Number: xxxx-%s","Hitelkártya száma: xxxx-%s"
"Credit Card Type","Hitelkártya típus"
"Credit Card Type: %s","Hitelkártya típusa: %s"
"Credit Memo History","Jóváírás történet"
"Credit Memo Totals","Összes jóváírás"
"Current Configuration Scope:","Jelenlegi beállítás hatókör:"
"Current Release Information","Aktuális kiadás részletei"
"Custom","Egyedi"
"Customer Group:","Vásárlói csoport:"
"Customer Since:","Vásárló regisztrált:"
"Customers","Vásárlók"
"DHTML Date/Time Selector","DHTML Dátum/Idő választó"
"Dashboard","Áttekintő"
"Data Format","Adat formátum"
"Data transfer:","Adatátvitel::"
"Date selection:","Dátum választás:"
"Date selector","Dátum választó"
"Date:","Dátum:"
"Decimal separator:","Decimal separator:"
"Default (Admin) Values","Alapértelmezett (Admin) Értékek"
"Default Values","Alapértelmezett"
"Delete","Töröl"
"Dependencies","Függőségek"
"Description:","Leírás:"
"Direction:","Irány:"
"Display %s first","Első %s mutatása"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL. licensz alapján terjesztve. Lásd.: %s további információért."
"Done By:","Végezte:"
"Done by:","Végezte:"
"Download Remote File","Távoli fájl letöltése"
"Drag to move","Fogd és vidd"
"Edit Role","Szerep szerkesztése"
"Edit User '%s'","Felh. szerkesztése '%s'"
"Email","E-mail"
"Email Preview","E-mail Előnézet"
"Email:","E-mail:"
"Enclose Values In:","Értékek lezárása:"
"Entity type:","Entitás típusa:"
"Excl. Tax","Áfa nélkül"
"Exclude","Nélkül"
"Expiration Date","Lejárat dátuma"
"Expiration Date: %s/%s","Lejárat dátuma: %s/%s"
"Export","Export"
"Export Filters","Export szűrők"
"Export to:","Export ide:"
"Export:","Export:"
"Extension","Kiegészítő"
"Extensions","Kiegészítők"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Mező megfeleltetés"
"File Information","Fájl információk"
"File name:","Fájl név:"
"Final Price","Végső ár"
"Finished items creation.","Finished items creation."
"First Name:","Keresztnév:"
"For latest version visit: %s","Legfrissebb verzió: %s"
"From","Innen"
"General Settings","Gyári beállítások"
"Get help for this page","Segítség ehhez az oldalhoz"
"Global Record Search","Globális bejegyzés kereső"
"Go Today","Go Today"
"Google Base Items","Google Base Elemei"
"Group:","Csoport:"
"Help Us Keep Magento Healthy - Report All Bugs","Segítsen Ön is a magento fejlesztésében - Összes hiba jelentése"
"Ignore","Ignore"
"Images","Képek"
"Import","Import"
"Import Service","Import Szolgálat"
"In Database:","Az adatbázisban:"
"In File:","A fájlban:"
"Inactive","Inaktív"
"Incl. Tax","Áfával"
"Include","Együtt"
"Installed As","Telepítve mint"
"Interactive","Interaktív"
"Interface Locale: %s","Helyi interfész: %s"
"Invalid webservice adapter specified","Érvénytelen webes szolgáltatás csatoló"
"Invalid webservice handler specified","Érvénytelen webes szolgáltatás kezelő"
"Invoice History","Számla történet"
"Invoice Totals","Számlák végösszege"
"Issue Number","Ügylet száma"
"Issuer: %s","Kibocsátó: %s"
"Items to merge","Items to merge"
"Last 5 Orders","Utolsó 5 rendelés"
"Last 5 Search Terms","Utolsó 5 keresési kulcs"
"Last Logged In (%s):","Utoljára bejelentkezve (%s):"
"Last Logged In:","Utoljára bejelentkezve:"
"Last Name:","Vezetéknév:"
"Latest Message:","Utolsó üzenet:"
"Leave empty to use tax identifier","Hagyja üresen az adó azonosító használatához"
"Level","Szint"
"License:","Licensz:"
"Loading...","Töltés..."
"Local Server","Helyi kiszolgáló"
"Local/Remote Server","Helyi/Távoli kiszolgáló"
"Log Out","Kijelentkezés"
"Logged in as %s","Bejelentkezve mint %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api részleg"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; az Irubin Consulting Inc. DBA Varien. védjegye<br/>Minden jog fenntartva &copy; %s Irubin Consulting Inc."
"Maintainers","Fenntartók"
"Manage Stores","Boltok kezelése"
"Mapping Configuration","Mapping Configuration"
"Max","Max"
