"Abandoned carts","Félbehagyott kosarak"
"Action","Művelet"
"Add to Cart","Kosárba rak"
"Add to Compare","Összehasonlít"
"Add to Wishlist","Kedvencekhez ad"
"Applied Coupon","Elfogadott kupon"
"Avg. approved rating","Átlagos jóváhagyott értékelés"
"Avg. rating","Atlagos értékelés"
"Bestsellers","Bestsellerek"
"Bought from wishlists","Kívánságlistáról megvéve"
"CSV","CSV"
"Carrier/Method","Szállítás/mód"
"Carts","Kosarak"
"Coupons","Kuponok"
"Created at","Létrehozás"
"Customer","Vásárló"
"Customer Name","Vásárló neve"
"Customer Tags","Vásárló címkéi"
"Customers","Vásárlók"
"Customers Report","Vásárlói jelentések"
"Customers Reviews","Vásárlók értékelései"
"Customers Tags","Vásárlók címkéi"
"Customers by number of orders","Vásárlók a vásárlások száma szerint"
"Customers by orders total","Vásárlók az összes rendelés szerint"
"Customers that have wishlist: %s%","Vásárlók akiknek vannak kedvenceik: %s%"
"Day","Nap"
"Default Recently Compared Products count","legutóbb összehasonlított termékek száma"
"Default Recently Viewed Products count","legutóbb megtekintett termékek száma"
"Detail","Részletek"
"Discounts","Kedvezmények"
"Downloads","Letöltések"
"Email","E-mail"
"Excel","Excel"
"First Name","Keresztnév"
"Guest","Vendég"
"Hits","Kattintás"
"ID","ID"
"Invalid date specified","Érvénytelen dátum"
"Invoiced","Számlázva"
"Items Ordered","Megrendelt termékek"
"Items in Cart","Termékek a kosárban"
"Last Name","Vezetéknév"
"Last Review","Utolsó értékelés"
"Link","Link"
"Low stock","Alacsony készlet"
"Month","Hónap"
"Most Viewed","Legnézettebb"
"Most viewed","Legnézettebb"
"Name","Név"
"New Accounts","Új fiókok"
"Number Added","Ennyiszer hozzáadva"
"Number Fulfilled","Ennyiszer végrehajtva"
"Number Of Historical Uses","Korábbi használatok száma"
"Number Of Reviews","Értékelések száma"
"Number Of Uses","Használatok száma"
"Number Purchased","Vásárlások száma"
"Number Viewed","Megtekintések száma"
"Number of Items","Termékek száma"
"Number of Ivoiced Orders","Számlázott rendelések száma"
"Number of New Accounts","Új fiókok száma"
"Number of Orders","Rendelések száma"
"Number of Refunded Orders","Visszatérített rendelések száma"
"Number of Reviews","Értékelések száma"
"Number of Total Tags","Összes címke mennyisége"
"Number of Unique Tags","Egyedi címkék mennyisége"
"Number of Views","Megtekintések száma"
"Number of items bought from a wishlist: %s","A kedvencekből megvásárolt termékek száma: %s"
"Number of times deleted","Törlések száma"
"Number of times wishlists have been shared (emailed): %s","A kedvencek lista megosztásá (e-mailben): %s"
"Number of wishlist conversions: %s","Kedvencek lista konverziók száma: %s"
"Number of wishlist referrals: %s","Kedvencek lista ajánlások: %s"
"Number of wishlists: %s","Összes kedvencek lista: %s"
"Offline Refunded","Offline visszatérítés"
"Online Refunded","Online visszatérítés"
"Orders","Rendelések"
"Out of stock","Nincs készleten"
"Poducts Report","Termék jelentés"
"Popular Tags","Népszerű címkék"
"Popularity","Népszerűség"
"Price","Ár"
"Product Name","Termék neve"
"Product Reviews","Termék értékelések"
"Product Sku","Cikkszám"
"Product Tags","Termék címkék"
"Products","Termékek"
"Products Report","Termék jelentések"
"Products Reviews","Termék értékelések"
"Products Sold","Products Sold"
"Products Tags","Termék címkék"
"Products in carts","Termékek a kosarakban"
"Purchases","Vásárlások"
"Quantity Ordered","Rendelt mennyiség"
"Quantity of Items","Termékek készlete"
"Rate","Mérték"
"Recently Compared Products","Utoljára összehasonlított termékek"
"Recently Viewed Products","Utoljára megtekintett termékek"
"Recently Viewed/Compared Products","Utoljára megtekintett/összehasonlított termékek"
"Refunded","Visszatérítve"
"Reports","Jelentések"
"Results","Eredmények"
"Revenue","Bevétel"
"Review","Értékelés"
"Reviews","Értékelések"
"Reviews for %s","%s értékelése"
"Sales","Eladások"
"Sales Report","Eladás jelentések"
"Search Terms","Keresési szavak"
"Shipping","Szállítás"
"Shopping Cart","Bevásárlókosár"
"Show for Current","Aktuális mutatása"
"Stock Qty","Készlet mennyiség"
"Submitted In","Létrehozás helye"
"Submitted On","Létrehozás"
"Subtotal","Részösszeg"
"Tag","Címke"
"Tag ""%s"" details"," ""%s"" címke részletei"
"Tag Detail","Címke részletek"
"Tag Name","Címke neve"
"Tag use","Címke használata"
"Tags submited by %s","Címkék megadója: %s"
"Tags submitted to %s","Címkék hozzáadva ehhez: %s"
"Tax","Adó"
"Tax Amount","Adó összege"
"Title","Cím"
"Total","Végösszeg"
"Total Invoiced","Számlázva összesen"
"Total Invoiced Captured","Összes számlázott és beérkezett"
"Total Invoiced not Captured","Összes számlázott kinntlevő"
"Total Refunded","Összesen visszatérített"
"Total Shipping","Összes szállítás"
"Total Tags","Összes címke"
"Total invoiced","Számlázva összesen"
"Total refunded","Összesen visszatérített"
"Updated at","Frissítés"
"Visible In","Láthatóság"
"Wishlist Report","Kedvencek lista jelentés"
"Wishlist vs. Regular Order","Kedvencek a szabályos rendeléssel szemben"
"Wishlists","Kedvencek listák"
"Year","Év"
"Your Recently Compared","Legutóbb összehasonlított termékei"
"Your Recently Viewed","Legutóbb megtekintett termékei"
