"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s sikeresen hozzáadva a kívánságlistához. Kattintson <a href=""%2$s"">ide</a> a vásárlás folytatásához"
"%s's Wishlist","%s Kívánságlistája"
"* Required Fields","* Kötelező mezők"
"Add All to Cart","Összeset a kosárba"
"Add to Cart","Kosárba rak"
"Add to Wishlist","Kívánságlistára"
"Added On","Hozzáadva"
"Are You sure?","Biztos benne?"
"Are you sure you want to remove this product from your wishlist?","Biztos benne hogy eltávolítja ezt a terméket a kívánságlistáról?"
"Are you sure you would like to remove this item from the wishlist?","Biztos benne hogy eltávolítja ezt a terméket a kívánságlistáról?"
"Back","Vissza"
"Can't save description %s","Leírás nem menthető %s"
"Cannot create wishlist","Sikertelen kívánságlista létrehozás"
"Cannot specify product","Sikertelen termék megadás"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Jelölje be a négyzetet ha szeretne egy rss linket a kívánságlistájához."
"Comment","Megjegyzés"
"Email Sender","E-mail küldő"
"Email Template","E-mail sablon"
"Email address can't be empty.","E-mail cím nem lehet üres."
"Email addresses, separated by commas","E-mail címek, vesszővel elválasztva"
"Enabled","Engedélyezve"
"General Options","Általános beállítások"
"Go to Wishlist","Tovább a kivánságlistához"
"Last Added Items","Utoljára hozzáadott elemek"
"Message","Üzenet"
"My Wishlist","Kivánságlista"
"My Wishlist (%d item)","Kívánságlistám (%d termék)"
"My Wishlist (%d items)","Kívánságlistám (%d termék)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Kérjük adjon meg valós e-mail címeket, vesszővel elválasztva. Például.: johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Ide írhatja megjegyzéseit..."
"Product","Termék"
"RSS Feed","RSS forrás"
"RSS link to %s's wishlist","RSS link %s kívánságlistájához"
"Remove Item","Eltávolít"
"Share Wishlist","Kívánságlista megosztása"
"Share Your Wishlist","Ossza meg kedvenceit másokkal"
"Share options","Megosztás lehetőségei"
"Sharing Information","Megosztási információk"
"There was an error while adding item to wishlist.","Hiba lépett fel a termék kívánságlistára tételekor."
"There was an error while adding item to wishlist: %s","Hiba lépett fel a termék kívánságlistára tételekor: %s"
"There was an error while deleting item from wishlist.","Hiba lépett fel a termék kívánságlistáról való törlésekor."
"There was an error while deleting item from wishlist: %s","Hiba lépett fel a termék kívánságlistáról való törlésekor: %s"
"This product(s) is currently out of stock:","Ez a termék jelenleg nincs készleten:"
"Update Wishlist","Kívánságlista frissítése"
"View Product","Termék megtekintése"
"Wishlist","Kívánságlista"
"Wishlist Section","Kívánságlista szekció"
"Wishlist Sharing","Kívánságlista megosztás"
"Wishlist is empty now.","Kívánságlista üres."
"You have no items in your wishlist.","Önnek nincs egy terméke sem a kívánságlistáján."
"You input not valid email address.","Nem valós e-mail címet adott meg."
"Your Wishlist was successfully shared","A kívánságlistája sikeresen megosztva"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Kívánságlistám"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
