"Billing Information","Számlázási információ"
"Change Payment Method","Fizetési mód váltás"
"Change Shipping Address","Szállítási cím változtatás"
"Edit Shopping Cart","Kosár szerkesztése"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Tételek a kosaradban"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal fiók"
"PayPal Email","PayPal email"
"Payment Method","Fizetési mód"
"Place an Order","Rendelés feladása"
"Please select a shipping method...","Válassz szállítási módot..."
"Price","Ár"
"Product Name","Termék név"
"Qty","Menny."
"Review Order","Rendelés átnézése"
"Shipping Address","Szállítási cím"
"Shipping Information","Szállítási információ"
"Shipping Method","Szállítási mód"
"Sorry, no quotes are available for this order at this time.","Sajnálom, nincsenek árfolyamok ehhez a rendeléshez jelen pillanatban."
"Submitting order information...","Rendelés információk elküldése..."
"Subtotal","Részösszeg"
"Update Shipping Method","Szállítási mód frissítés"
"You will be redirected to PayPal website when you place an order.","Át leszel irányítva a Paypal-ra ha feladod a rendelést."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Your billing address will be ignored and you will be redirected to PayPal website"
