" Copy"," Másol"
"Action","Művelet"
"Add New Template","Új sablon hozzáadása"
"Add to Queue","Sorbaállít"
"Are you sure that you want to delete this template?","Biztos benne hogy törli ezt a sablont?"
"Are you sure that you want to strip all tags?","Biztos benne hogy eltávolítja az összes címkét?"
"Back","Vissza"
"Cancel","Mégsem"
"Cancelled","Törölve"
"Cannot delete subscriber","Előfizetőt nem sikerült törölni"
"Cannot delete template","Sablont nem sikerült törölni"
"Cannot mark as received subscriber","Nem sikerült bejegyezni az előfizetőt"
"Cannot save your subscription: %s","Nem sikerült menteni a feliratkozását: %s"
"Confirmation Email Sender","Megerősítő e-mail küldő"
"Confirmation Email Template","Megerősítő e-mail sablon"
"Confirmation request has been sent","Megerősítő kérés elküldve"
"Convert to Plain Text","Átalakítás egyszerű szöveggé"
"Create Newsletter Template","Hírlevél sablon létrehozása"
"Customer","Vásárló"
"Customer Firstname","Vásárló keresztnév"
"Customer Lastname","Vásárló vezetéknév"
"Date Added","Hozzáadva"
"Date Updated","Frissítve"
"Delete Selected Problems","Választott hibák törlése"
"Delete Template","Sablon törlése"
"Do you really want to cancel the queue?","Biztosan meg kívánja szakítani a várólistát?"
"Duplicate of template code","Sablon kód duplikációja"
"Edit Newsletter","Hírlevél szerkesztése"
"Edit Newsletter Template","Hírlevél sablon szerkesztése"
"Edit Queue","Várólista szerkesztése"
"Edit Template","Sablon szerkesztése"
"Email","E-mail"
"Enter your email address","Adja meg az e-mail címét"
"Error Code","Hiba kód"
"Error Text","Hiba szöveg"
"Form was filled incorrectly","Hibás űrlap kitöltés"
"Guest","Vendég"
"ID","ID"
"Invalid queue selected","Érvénytelen várólista kiválasztás"
"Invalid subscriber ID","Érvénytelen előfizető ID"
"Invalid subscription ID","Érvénytelen feliratkozás ID"
"Invalid subscription confirmation code","Érvénytelen feliratkozás megerősító kód"
"Message","Üzenet"
"Need to Confirm","Meg kell erősíteni"
"New Newsletter Template","Új hírlevél sablon"
"New Template","Új sablon"
"Newsletter","Hírlevél"
"Newsletter Message Preview","Hírlevél üzenet előnézet"
"Newsletter Problem Reports","Hírlevél hibajelentés"
"Newsletter Queue","Hírlevél várólista"
"Newsletter Section","Hírlevél szekció"
"Newsletter Sign-up","Hírlevél feliratkozás"
"Newsletter Subscribers","Hírlevél előfizetők"
"Newsletter Subscription","Hírlevél feliratkozás"
"Newsletter Subscriptions","Hírlevél feliratkozások"
"Newsletter Templates","Hírlevél sablonok"
"Newsletter subscription confirmation","Hírlevél feliratkozás megerősítés"
"Newsletter subscription success","Hírlevél feliratkozás sikeres"
"Newsletter unsubscription success","Hírlevél feliratkozás sikeres"
"No Templates Found","Nem található sablon"
"No problems found","Nem található hiba"
"No subscribers selected","Nem lett előfizető kiválasztva"
"Not Sent","Nincs elküldve"
"Not activated","Nincs aktiválva"
"Pause","Szünet"
"Paused","Szüneteltetve"
"Please enter a valid email address","Adjon meg valós e-mail címet"
"Please enter new template name","Adjon meg új sablon nevet"
"Please select subscriber(s)","Válasszon ki előfizetőket"
"Preview","Előnézet"
"Preview Template","Sablon előnézet"
"Processed","Feldolgozva"
"Queue Date Start","Várólista kezdés"
"Queue Finish","Várólista befejezés"
"Queue Information","Várólista adatok"
"Queue Newsletter","Várólistára tesz"
"Queue Start","Várólista indítása"
"Queue Subject","Lista tárgya"
"Recipients","Címzettek"
"Reset","Alaphelyzet"
"Resume","Újraindít"
"Return Html Version","Html kód kérése"
"Save And Resume","Ment és újraindít"
"Save As","Mentés másként"
"Save Newsletter","Hírlevél mentése"
"Save Template","Sablon mentése"
"Selected problem subscribers successfully unsubscribed","A kiválasztott problémás előfizetők sikeresen leiratkozva"
