"%s is not correct comparsion method.","%s nem megfelelő módszer."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Figyelem</strong>, ezek a beállítások a kosár elemeire vonatkoznak, nem az egész kosárra."
"Allow Qty Below 0","Készlet lehet kevesebb mint 0"
"Allow Qty Below 0 and Notify Customer","Készlet lehet kevesebb mint 0, de figyelmeztesse a vevőt."
"Backorders","Backorders"
"By Fixed value","Fix értékkel"
"By Percentage","Százalékkal"
"Can not specify product identifier for order item","Nem lehet termékazonosítót meghatározni a termék rendeléshez"
"Catalog Inventory","Katalógus készlet"
"Decrease Stock When Order is Placed","Készlet csökkentése rendeléskor"
"In Stock","Készleten"
"Inventory","Raktárkészlet"
"Inventory API","Rektárkészlet API"
"Inventory Section","Raktárkészlet szekció"
"Manage Stock","Készlet kezelése"
"Maximum Qty Allowed in Shopping Cart","Maximum megengedett mennyiség a kosárban"
"Minimum Qty Allowed in Shopping Cart","Minimum mennyiség a kosárban"
"No Backorders","Nincs előrendelés"
"Notify for Quantity Below","Figyelmeztetés ha a készlet ez alá csökken"
"Out of Stock","Nincs készleten"
"Product Stock Options","Termék készlet beállítások"
"Qty for Items' Status to become Out of Stock","Termék készlet a 'Nincs készleten' állapothoz"
"Retrieve stock data","Készlet adatok betöltése"
"Retrieve stock data by product ids","Készlet adatok betöltése termék id szerint"
"Rule price","Ár szabály"
"Set Items' Status to be In Stock When Order is Cancelled","Helyezze vissza a terméket a készletbe ha a rendelés törlésre kerül."
"Some of the products are currently out of stock","Néhány termék jelenleg nincs készleten"
"Some of the products can not be ordered in requested quantity","Néhány termék nem rendelhető a kért mennyiségben"
"Some of the products cannot be ordered in the requested quantity","Néhány termék nem rendelhető a kért mennyiségben"
"Stock Options","Készlet beállítások"
"Stock item for Product in option is not valid","A termék készlet értéke a beállításokban nem érvényes"
"Stock item for Product is not valid","Termék készlet nem valós"
"The maximum quantity allowed for purchase is %s.","A maximális vásárolható mennyiség: %s."
"The minimum quantity allowed for purchase is %s.","A minimum vásárolható mennyiség: %s."
"The requested quantity for ""%s"" is not available.","Az igényelt mennyiség a termékből ""%s"" nem elérhető."
"The requested quantity is not available.","A kért mennyiség nem elérhető."
"This product is currently out of stock.","A termék jelenleg nincs készleten."
"To Fixed Value","Fix értékre"
"To Percentage","Százalékra"
"Update","Frissít"
"Update product stock data","Termék készlet adatok frissítése"
"Update the Product","Termék frissítése"
