"%s and greater","%s és felette"
"Advanced Search","Részletes kereső"
"All","Mind"
"Applies for ""Like"" Search type only","Csak ""Like"" Keresési típus"
"Apply Layered Navigation if search results are less than","Legyen szűkített nézet ha a keresési találatok száma kevesebb mint"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Tulajdonság beállításai összeköttetésben állnak a kereső index-el. Futtassa a <a href=""%s"">Keresési index újraépítése</a> folyamatot"
"Autogenerated site map","Autogenerált oldaltérkép"
"Catalog Advanced Search","Részletes keresés"
"Catalog Search","Egyszerű keresés"
"Don't see what you're looking for?","Nem találja amit keresett?"
"Go","Mehet"
"Go to Home Page","Vissza a kezdőlapra"
"Grid","Rács"
"Home","Kezdőlap"
"List","Lista"
"Maximum Query Length","Maximális keresési hossz"
"Maximum Query Words Count","Maximum kereső szavak"
"Maximum Search query  length is %s. Your query was cut.","Maximális keresési hossz %s karakter. A többit a rendszer levágta."
"Minimal Query Length","Minimális keresési hossz"
"Modify your search","Módosítsa keresését"
"No","Nem"
"No items were found using the following search criteria.","Nem találtunk a keresési feltételnek megfelelő terméket."
"Please enter ""0"" to enable layered navigation for any number of results","Ha beírja hogy ""0"". A kereső bármekkora találat esetén használni fogja a szűkítési nézetet"
"Popular Search Terms","Népszerű keresési kifejezések"
"Popular search terms","Népszerű keresési kifejezések"
"Relevance","Fontosság"
"Required Fields","Köztelező mezők"
"Results","Eredmények"
"Search","Keresés"
"Search Settings","Keresés beállításai"
"Search Site","Keresés az oldalon"
"Search Terms","Kereső szavak"
"Search Type","Keresés típusa"
"Search entire store here...","Keresés a teljes készletben..."
"Search results for '%s'","Keresés eredményei erre: '%s'"
"Search results for: '%s'","Keresés eredményei erre: '%s'"
"Subscribe to Feed","Feliratkozva a forrásra"
"There are no search terms available.","Nem találhatóak keresőszavak."
"Yes","Igen"
"You have to specify at least one search term","Legalább egy kulcsszót meg kell adnia"
"Your search returns no results.","A keresés nem hozott eredményt."
"up to %s","egészen %s-ig"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
