"--Please Select--","--Kérem válasszon--"
"<label>Make Check payable to:</label> %s","<label>Csekk kifizethető neki:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Csekk kifizethető neki</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Nem végezhető el beállítás a fizetési módhoz ezzel a kóddal: %s"
"Can not retrieve payment info model object.","Nem elérhető a fizetés info modell objektum."
"Can not retrieve payment method instance","Nem elérhető a fizetési metódus példány"
"Can not retrieve payment method model object.","Nem elérhető a fizetés mód modell objektum."
"Card Verification Number","Kártya ellenőrző szám"
"Check / Money order","Csekk / Utalvány"
"Credit Card Number","Bankkártya szám"
"Credit Card Number: %s","Bankkártya száma: %s"
"Credit Card Number: xxxx-%s","Bankkártya száma: xxxx-%s"
"Credit Card Type","Bankkártya típusa"
"Credit Card Type: %s","Bankkártya típusa: %s"
"Credit Card Types","Bankkártya típusok"
"Credit Card Verification","Hitelkártya ellenőrzés"
"Enabled","Engedélyezve"
"Expiration Date","Lejárat dátuma"
"Expiration Date: %s/%s","Lejárat dátuma: %s/%s"
"Make Check payable to","Csekk kifizetendő neki"
"Make Check payable to: %s","Csekk kifizetendő neki: %s"
"Maximum Order Total","Maximum rendelési összeg"
"Minimum Order Total","Minimum rendelési összeg"
"Month","Hónap"
"Name on Card","Név a kártyán"
"Name on the Card: %s","Név a kártyán: %s"
"New order status","Új rendelés állapota"
"Payment Methods","Fizetési módok"
"Payment Methods Section","Fizetési módok rész"
"Payment from Specific countries","Fizetés meghatározott országokból"
"Payment from applicable countries","Fizetés az engedélyezett országokból"
"Purchase Order Number","Rendelési szám"
"Purchase Order Number: %s","Rendelési szám: %s"
"Purchase order","Vásárlás"
"Saved CC","Mentett kártya"
"Send Check to","Csekk küldése ide"
"Send Check to:","Csekk küldése ide:"
"Sort order","Sorrend"
"Title","Cím"
"What is this?","Mi ez?"
"Year","Év"
"Zero Subtotal Checkout","Zéró végösszegű vásárlás"
