"Actions","Műveletek"
"Active","Aktív"
"Add New Rule","Új szabály hozzáadása"
"Apply Rules","Szabályok érvényesítése"
"Attribute Set","Jellemző csoport"
"Catalog","Katalógus"
"Catalog Price Rule","Katalógus ár szabály"
"Catalog Price Rules","Katalógus ár szabályok"
"Category","Kategória"
"Comments History","Komment történet"
"Conditions","Feltételek"
"Conditions (leave blank for all products)","Feltételek (hagyd üresen az összes termékhez)"
"Conditions Combination","Feltételek kombinációja"
"Credit Memos","Jóváírások"
"Customer Groups","Vevő csoportok"
"Customer is new buyer: %s","Vásárló új vevő: %s"
"Customer registered: %s","Vásárló regisztrált: %s"
"Date Expire","Lejárat"
"Date From","Mióta"
"Date Start","Kezdés"
"Date To","Meddig"
"Delete Rule","Szabály törlése"
"Description","Leírás"
"Description: %s","Leírás: %s"
"Edit Rule","Szabály szerkesztése"
"Edit Rule '%s'","Szabály szerkesztése '%s'"
"Expire at: %s","Lejárat: %s"
"From Date","Mióta"
"General Information","Főbb információk"
"Gift Messages","Rendelés üzenetek"
"ID","ID"
"Inactive","Inaktív"
"Invoices","Számlák"
"NOT LOGGED IN","NINCS BELÉPVE"
"Name: %s","Név: %s"
"New Rule","Új szabály"
"No","Nem"
"Options","Beállítások"
"Order Credit Memos","Rendelés jóváírások"
"Order Gift Messages","Rendelés üzenetek"
"Order History","Rendelés történet"
"Order Invoices","Számlák"
"Order Shipments","Szállítók"
"Priority","Prioritás"
"Product Attribute","Termék jellemzők"
"Promotions","Promóciók"
"Rule Information","Szabály információk"
"Rule Name","Szabály neve"
"Rule was successfully deleted","Szabály sikeresen törölve"
"Rule was successfully saved","Szabály sikeresen mentve"
"Rules were successfully applied","Szabályok sikeresen elfogadva"
"Save Rule","Szabály mentése"
"Save and Apply","Ment és érvényesít"
"Shipments","Szállítók"
"Start at: %s","Kezdés: %s"
"Status","Állapot"
"Stop further rules processing","További szabályok feldolgozásának leállítása"
"The page you are trying to save no longer exists","Az oldal amit menteni próbál nem létezik"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Vannak szabályok amik megváltoztak de nem lettek érvényesítve. Kérem kattintson a szabályok elfogadása gombra, az azonnali változáshoz a katalógusban."
"This rule no longer exists","Ez a szabály nem létezik már."
"To Date","Meddig"
"Unable to apply rules","Nem lehet a szabályokat érvényesíteni"
"Unable to find a page to delete","Nem találom a törlendő oldalt"
"Update product's %s %s: %s","Termék frissítés %s %s: %s"
"Websites","Weboldalak"
"Yes","Igen"
