"Add New Row","Új sor hozzáadása"
"An error occurred while saving the file(s).","Hiba történt a fájl mentése közben."
"Availability: In stock.","Elérhetőség: Készleten."
"Availability: Out of stock.","Elérhetőség: Nincs készleten."
"Back","Vissza"
"Can't connect to remote host, error: %s","Hiba a csatlakozás során: %s"
"Canceled","Törölve"
"Date","Dátum"
"Default Link Title","Alapértelmezett link cím"
"Default Maximum Number of Downloads","Alapértelmezett maximális letöltés"
"Default Sample Title","Alapértelmezett Példa cím"
"Disable Guest Checkout if cart contains downloadable items","Vendégként való vásárlás letiltása ha a kosár letölthető elemeket tartalmaz"
"Downloadable Information","Letölthető információk"
"Downloadable Product","Letölthető termék"
"Downloadable Product Options","Letölthető termék opciók"
"Downloadable product Section","Letölthető termék szerkció"
"Excl. Tax","Áfa nélkül"
"File","Fájl"
"File does not exists","Fájl nem létezik"
"From:","Mikortól:"
"Gift Message","Üzenet"
"Go to <a href=""%s"">My Downloadable Products</a>","Lépjen a <a href=""%s"">Letölthető termékeimhez</a>"
"Guest checkout will only work with shareable","Vendégként vásárlás csak megoszthatóval működik"
"Incl. Tax","Áfával"
"Invalid download URL host","Érvénytelen letöltési url host"
"Invalid download URL scheme","Érvénytelen letöltési url séma"
"Invalid download link type","Érvénytelen letöltési link típus"
"Invoiced","Számlázva"
"Link has expired.","Link lejárt."
"Link is not available.","Link nem elérhető."
"Links can be purchased separately","Linkek külön is megvásárolhatóak"
"Max. Downloads","Max. letöltés"
"Message:","Üzenet:"
"My Downloadable Products","Letölthető termékeim"
"Open Links in New Window","Linkek megnyitása ablakban"
"Order #","Rendelés #"
"Order Item Status to enable Downloads","Elem állapot rendezése a letöltések engedélyezéséhez"
"Ordered","Megrendelve"
"Pending","Függőben"
"Please log in to download your product.","Kérjük jelentkezzen be a termék letöltéséhez."
"Please set resource file and link type","Kérem állítsa be a forrás fájlt és a link típusát"
"Please specify product link(s).","Kérem adja meg a termék linkjét."
"Price","Ár"
"Refunded","Megtérítve"
"Remaining Downloads","Hátralévő letöltések"
"Remove item","Elemek eltávolítása"
"Requested link doesn't exist.","Kért link nem létezik."
"Sample","Példa"
"Shareable","Megosztható"
"Shipped","Szállítva"
"Sorry, the was an error getting requested content. Please contact store owner.","Sajnálom, hiba történt a kért tartalom betöltésekor. Vegye fel a kapcsolatot a bolt tulajdonosával."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Sajnálom, hiba történt a kért tartalom betöltésekor. Vegye fel a kapcsolatot a bolt tulajdonosával."
"Sort Order","Sorrend"
"Start Download","Letöltés megkezdése"
"Status","Állapot"
"Title","Cím"
"To:","Meddig:"
"U","U"
"Unlimited","Korlátlan"
"View Order","Rendelés megtekintése"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
"attachment","csatolmány"
"download","letöltés"
"inline","sorban"
"sample","Példa"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
