"Action","Művelet"
"All types","Összes típus"
"Backup file ""%s"" can't read or write","Backup fájl ""%s"" nem lehet írni/olvasni"
"Backup file ""%s"" doesn't exist","Backup fájl ""%s"" nem létezik"
"Backup file doesn't exist","Backup fájl nem létezik"
"Backup file handler don't specify","Backup fájl kezelő nincs meghatározva"
"Backup file path don't specify","Backup fájl útvonal nincs meghatározva"
"Backups","Mentések"
"Cannot read backup file","Backup fájl nem olvasható"
"Create Backup","Mentés készítése"
"DB","DB"
"Database was successfuly backed up.","Adatbázis sikeresen lementve."
"Download","Letöltés"
"Error write to Backup file ""%s""","Hiba a fájl írásakor ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Fájl Zlib-el tömörítve, de ez a kiterjesztés nincs telepítve a szerverre"
"Size, byte","Méret, byte"
"Time","Idő"
"Type","Típus"
"Unable to create backup. Please, try again later.","Mentés létrehozása sikertelen, próbálja meg később."
"Wrong order of creation for new backup","Hibás rendezés az új mentés készítéséhez"
