"(eg: domain.com/identifier)","(eg: domain.com/azonosító)"
"Action","Művelet"
"Add New Block","Új blokk hozzáadása"
"Add New Page","Új oldal hozzáadása"
"All countries","Összes ország"
"Block Information","Blokk információk"
"Block Title","Blokk címe"
"Block was successfully deleted","Blokk sikeresen törölve"
"Block was successfully saved","Blokk sikeresen elmentve"
"CMS","CMS"
"CMS Home Page","CMS kezdőlap"
"CMS No Route Page","CMS hibás link oldal"
"Content","Tartalom"
"Custom Design","Egyedi kinézet"
"Custom Theme","Egyedi téma"
"Custom Theme From","Egyedi téma kezdete"
"Custom Theme To","Egyedi téme vége"
"Customer Tax Class Information","Vevő áfa osztály adatok"
"Date Created","Létrehozva"
"Delete Block","Blokk törlése"
"Delete Page","Oldal törlése"
"Description","Leírás"
"Disabled","Letiltva"
"Edit Block","Blokk szerkesztése"
"Edit Block '%s'","Blokk '%s' szerkesztése"
"Edit Page","Oldal szerkesztése"
"Edit Page '%s'","Oldal '%s' szerkesztése"
"Enabled","Engedélyezve"
"General Information","Főbb információk"
"Go to Home Page","Vissza a kezdőlapra"
"Home","Kezdőlap"
"Identifier","Azonosító"
"Keywords","Kulcsszavak"
"Last Modified","Utoljára módosítva"
"Layout","Elrendezés"
"Layout Update XML","Elrendezés frissítés XML"
"Manage Pages","Oldalak kezelése"
"Meta Data","Meta Adatok"
"Meta Description","Meta Leírás"
"Meta Keywords","Meta Kulcsszavak"
"New Block","Új blokk"
"New Page","Új oldal"
"Page Identifier cannot consist only of numbers.","Oldal azonosító nem tartalmazhat csak számokat."
"Page Identifier for specified store already exist.","Oldal azonosító ehhez a bolthoz már létezik."
"Page Information","Oldal információk"
"Page Status","Oldal állapot"
"Page Title","Oldal címe"
"Page was successfully deleted","Oldal sikeresen törölve"
"Page was successfully saved","Oldal sikeresen elmentve"
"Poll Manager","Szavazás kezelő"
"Product Tax Class Information","Termék áfa osztály információ"
"SEF URL Identifier","SEF URL azonosító"
"Save Block","Blokk mentése"
"Save Page","Oldal mentése"
"Show breadcrumbs for CMS pages","Elérési út mutatása a cms oldalnál"
"Static Blocks","Statikus blokkok"
"Status","Állapot"
"Store View","Bolt nézet"
"Such a block identifier in selected store already exist.","Ilyen azonosító a választott boltban már létezik."
"The page you are trying to save no longer exists","A menteni kívánt oldal már nem létezik"
"This block no longer exists","Ez a blokk már nem létezik"
"This page no longer exists","Ez az oldal már nem létezik"
"Title","Címsor"
"Unable to find a block to delete","Nem találom a törlendő blokkot"
"Unable to find a page to delete","Nem találom a törlendő oldalt"
