"* Select shipping method","* Válassz szállítási módot"
"AVS Status: %s","AVS állapot: %s"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Amount: %s","Mennyiség: %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout Charge áltat generálva"
"Buyer account age: %s days","Vevő fiók kora: %s nap"
"CC Partial: xxxx-%s","CC részlet: xxxx-%s"
"CID Status: %s","CID állapot: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","Kosár engedmény"
"Checkout Image Style","Pénztér kép stílus"
"Continue Shopping URL","Vásárlás folytatása URL"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","Alap ár:"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","Megfelelő a védelemhez: %s"
"Enable","Engedélyez"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","Érvényesség: %s"
"Financial: %s -> %s","Pénzügy: %s -> %s"
"Free Shipping","Free Shipping"
"Fulfillment: %s -> %s","Teljesítés: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Authorization:"
"Google Buyer Id: %s","Google Vevő Id: %s"
"Google Charge:","Google terhelés:"
"Google Checkout","Google Pénztár"
"Google Checkout Shipping - Carrier Calculated","Google Pénztár Szállítás - Szállító számolja"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Google Pénztár Szállítás - Átalány"
"Google Checkout Shipping - Merchant Calculated","Google Pénztár Szállítás - Kereskedő számolja"
"Google Checkout: %s","Google Pénztár: %s"
"Google Order Number: %s","Google Order Number: %s"
"Google Refund:","Google visszatérítés:"
"Google Risk Information:","Google rizikó információ:"
"Google order status change:","Google rendelás állapot változás:"
"Hide Cart Contents During Checkout","Rejtsd el a kosár tartalmát a pénztárban"
"IP Address: %s","IP cím: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Számla atomatikusan-készített: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","Utolsó terhelés: %s"
"Latest Refund: %s","Utolsó visszatérítés: %s"
"Location","Hely"
"Medium - %s","Medium - %s"
"Merchant ID","Kereskedő ID"
"Merchant Key","Kereskedő kulcs"
"Method","Method"
"New order status","Új rendelés állapot"
"No","No"
"Optional, leave empty for home page.","Választható, hagyd üresen a honlaphoz."
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Próba üzemmód"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","Összesen terhelt: %s"
"Total Refunded: %s","Összesen visszatérített: %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","Viruális tétel az engedmény mutatásához"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
