"API Login ID","API belépés ID"
"Authorize Only","Csak engedélyez"
"Authorize and Capture","Engedélyez és végrehajt"
"Authorize.net","Authorize.net"
"Credit Card Types","Hitelkátya típusok"
"Credit Card Verification","Hitelkártya ellenőrzés"
"Debug","Hibakeresés"
"Email customer","Vevőnek email"
"Enabled","Engedélyezett"
"Error in authorizing the payment","Hiba a fizetés engedélyezésekor"
"Error in capturing the payment","Hiba a fizetés végrahjtásakor"
"Error in payment gateway","Hiba a fizetési átjáróban"
"Error in refunding the payment","Hiba a fizetés visszatérítésekor"
"Error in refunding the payment.","Hiba a fizetés visszatérítésekor."
"Error in retrieving the transaction","Hiba a tranzakció lekérésekor"
"Fraud order status","Csaló rendelés állapot"
"Gateway request error: %s","Átjáró kérés hiba: %s"
"Invalid amount for authorization","Érvénytelen mennyiség az engedélyzéshez"
"Invalid amount for authorization.","Érvénytelen mennyiség az engedélyzéshez."
"Invalid transaction id","Érvénytelen ügylet azonosító"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Kereskedő belépés"
"Merchant's email","Kereskedő email"
"Minimum Order Total","Minimum Order Total"
"New order status","Új rendelés állapot"
"Partner","Partner"
"Password","Jelszó"
"Payflow Pro","Payflow Pro"
"Payment Action","Fizetés művelet"
"Payment authorization error.","Fizetés engedélyezési hiba."
"Payment authorization transaction has been declined.","Fizetést engedélyező ügylet meg lett tagadva."
"Payment from Specific countries","Fizetés a meghatározott országokból"
"Payment from applicable countries","Fizetés alkalmazható országokból"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Sorrend"
"TENDER","TENDER"
"Test mode","Teszt üzemmmód"
"Title","Cím"
"Transaction key","Ügylet kulcs"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Felhasználó"
"VERBOSITY","VERBOSITY"
"Voided transaction","Voided transaction"
