"# of Use","# használva"
"%1$s incl tax.","%1$s áfával."
"%s - %s","%s - %s"
"%s Item(s)","%s termék"
"(Copy data from: %s)","(Másolás innen: %s)"
"(Will make search for the query above return results for this search.)","(Keresés a jelenlegi keresés eredményeiben.)"
"* Required Fields","* Kötelező kitölteni"
"-- Please Select --","-- Kérem válasszon --"
"A name is required","Név megadása kötelező"
"ALL GROUPS","ÖSSZES CSOP."
"AM","AM"
"Action","Művelet"
"Add Attribute","Új jellemző"
"Add Design Change","Új kinézet változás"
"Add Group","Új csoport"
"Add Items to Cart","Tételeket a kosárba"
"Add New","Hozzáad"
"Add New Attribute","Új jellemző"
"Add New Attribute Set","Új jellemző csoport"
"Add New Group","Új csoport"
"Add New Images","Új kép"
"Add New Option","Új opció"
"Add New Row","Új sor"
"Add New Search Term","Új keresési feltétel"
"Add New Set","Új összeállítás"
"Add Option","Új opció"
"Add Product","Új termék"
"Add Product To Websites","Termék hozzáadása weboldalhoz"
"Add Root Category","Új Gyökér kategória"
"Add Subcategory","Új alkategória"
"Add Tax","Új adónem"
"Add Tier","Új lépcső"
"Add to Cart","Kosárba rak"
"Add to Compare","Összehasonlít"
"Add to My Wishlist","Kívánságlistára"
"Add to Wishlist","Kívánságlistára"
"Additional Information","További információk"
"All","Mind"
"All Product Types","Minden termék típus"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","A halmaz összes terméke törlődni fog! Biztos benne hogy törölni szeretné ezt a jellemző csoportot?"
"Allow HTML-tags on Front-end","HTML-kód engedélyezése a boltban"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Érvényes erre"
"Apply To Configurable/Grouped Product","Érvényes a Konfigurálható/Csoportos Termékre"
"Approved","Elfogadva"
"Are you sure you want to delete this category?","Biztos benne hogy törölni szeretné ezt a kategóriát?"
"Are you sure you would like to remove all products from your comparison?","Biztos benne hogy minden terméket eltávolít az összehasonlításból?"
"Are you sure you would like to remove this item from the compare products?","Biztos benne hogy eltávolítja ezt a terméket az összehasonlításból?"
"Are you sure?","Biztos benne?"
"As low as:","Akár:"
"Assign","Hozzárendel"
"Assign product link","Termék link hozzárendelése"
"Assign product to category","Termék hozzárendelése kategóriához"
"Assigned Products","Hozzárendelt termékek"
"Associated Products","Társított termékek"
"Attrib. Set Name","Jell. csop. Név"
"Attribute Code","Jellemző kód"
"Attribute Information","Jellemző részletei"
"Attribute Label","Jellemző neve"
"Attribute Model","Jellemző forma"
"Attribute Name:","Jellemző neve:"
"Attribute Properties","Jellemző tulajdonságai"
"Attribute Set","Jellemző csoport"
"Attribute group with the ""/name/"" name already exists","Jellemző csoport ""/name/"" néven már létezik"
"Attribute model not defined","Jellemző forma nincs definiálva"
"Attribute with the same code already exists","Jellemző, ezzel a kóddal már létezik"
"Attributes","Jellemzők"
"Attrribute names can be specified per store.","Jellemző nevek boltonként változhatnak."
"Autogenerate","Automatikus"
"Availability","Elérhetőség"
"Availability: In stock.","Elérhetőség: Készleten."
"Availability: Out of stock.","Elérhetőség: Nincs készleten."
"Back","Vissza"
"Backend Model","Admin Model"
"Backend Table","Admin tábla"
"Backend Table Title","Admin Table Neve"
"Backorders","Újrarendelés"
"Base directory to upload image file is not specified","Főkönyvtár a képek feltöltéséhez nem elérhető"
"Based On","Ezen:"
"Best Value","Minőség"
"Block after Info Column","Blokk az info doboz után"
"Bottom/Left","Lent/Balra"
"Bottom/Right","Lent/Jobbra"
"Browse By","Szűkítés:"
"Buy %1$s for %2$s","%1$s db felett %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s db-nál az ár: %2$s (%3$s áfával) /db"
"Buy %1$s for %2$s each","%1$s db felett %2$s /db"
"Can be used only with catalog input type Dropdown","Csak legördülő menüvel használható"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Csak Legördülő menü, Többes kiválasztás vagy Ár típusú beviteli mező esetén"
"Can't create image.","Nem tudok képet létrehozni."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Kosárban lévő termék tulajdonság"
"Catalog","Katalógus"
"Catalog Input Type for Store Owner","Beviteli mező az adminban"
"Catalog Price Scope","Katalógus ár hatókör"
"Catalog Section","Katalógus"
"Catalog, Search","Katalógus, Keresés"
"Categories","Kategóriák"
"Categories Sitemap","Kategóriák oldaltérkép"
"Category","Kategória"
"Category API","Kategória API"
"Category Data","Kategóia adatok"
"Category Navigation:","Kategóriák menü:"
"Category Products","Kategória termékei"
"Category Top Navigation","Kategória felső menü"
"Category URL Suffix","Kategória URL végződés"
"Category attributes API","Kategória tulajdonságok API"
"Category delete error","Kategória törlés hiba"
"Category deleted","Kategória törölve"
"Category move error","Kategória mozgatási hiba"
"Category must be instance of Mage_Catalog_Model_Category","Kategóriának kapcsolódnia kell a Mage_Catalog_Model_Category-hoz"
"Category saved","Kategória mentve"
"Change","Változtat"
"Change or Retrieve attribute store view","Bolt nézet - jellemző megváltoztatása"
"Change status","Állapot változtatása"
"Check items to add to the cart or","Gyűjtsön termékeket a kosarába vagy"
"Choose an Option...","Válasszon..."
"Choose option...","Válasszon..."
"Clear All","Összes törlése"
"Clear All Items","Minden elem törlése"
"Close Window","Ablak bezárása"
"Collapse All","Mindet Össze"
"Comparable","Összehasonlítható"
"Comparable on Front-end","Összehasonlítható a boltban"
"Compare Items","Tételek összehasonlítása"
"Compare Products","Termékek összehasonlítása"
"Compare Products (%d)","Összehasonlítás (%d)"
"Compare Products - %d Items","Összehasonlítás - %d Termék"
"Compare Products List","Összehasonlítás lista"
"Compare list successfully cleared","Összehasonlító lista törölve"
"Conditions Combination","Feltételek kombinációja"
"Configurable Product","Konfigurálható termék"
"Configurable Product Settings","Konfigurálható termék beállítások"
"Continue","Tovább"
"Copy From Configurable","Konfigurálhatóból másol"
"Country/State","Ország"
"Create","Létrehoz"
"Create (Upload)","Létrehoz (Feltölt)"
"Create Empty","Üreset létrehoz"
"Create Product Settings","Termék beállítások létrehozása"
"Create Simple Associated Product","Egyszerű társított termék létrehozása"
"Create new category","Új kategória hozzáadása"
"Create new product","Új termék hozzáadása"
"Cross-sells","Kereszt-eladás"
"Currently Shopping by","Jelenlegi szűkítés"
"Custom Design","Egyedi kinézet"
"Custom Options","Saját opciók"
"Customer Group","Vevő csoport"
"Customers Reviews","Vevők véleményei"
"Customers Tagged Product","Vevők által címkézett termékek"
