"%s is not supported currency.","%s nem támogatott pénznem."
"Accept","Elfogad"
"Basic","Alap"
"Cannot retreive rate from strikeirion.","Nem érhetõ el érték a strikeirion-ról."
"Cannot retrieve rate from %s to %s","Nem érhetõ el érték innen: %s ehhez %s"
"Check all email servers","Ellenõrizze az e-mail szervereket"
"Complete","Sikerült"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"Customer Tax Class","Vevõ adó osztály"
"Email Verification","E-mail ellenõrzés"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-mail cím nem ellenõrizhetõ. Kérem ellenõrizze hogy helyesen írta-e be az e-mail címet."
"Enable US address verification","US cím ellenõrzés engedélyezése"
"Enable email verification","E-mail ellenõrzés engedélyezése"
"Enable foreign exchange rate","Deviza/Valutaárfolyam engedélyezése"
"Enable global address verification","Globális cím ellenõrzés engedélyezése"
"Enable sales and use tax","Eladások engedélyezése és adó használata"
"Error Email Recipient","Hiba e-mail címzett"
"Error Email Sender","Hiba e-mail küldõ"
"Error Email Template","Hiba e-mail sablon"
"Error address action","Hibás cím mûvelet"
"Foreign Exchange Rates","Deviza/valutaárfolyam"
"Global Address Verification","Globális cím ellenõrzés"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Ha a típus teljes és az irányítószám több adó értékhez kapcsolódik, "
"Invalid email address","Érvénytelen e-mail cím"
"Maximum tax rate","Maximális adó érték"
"Minimum tax rate","Minimális adó érték"
"Password","Jelszó"
"Pop up warning and accept","Pop up warning and accept"
"Product Tax Class","Product Tax Class"
"Reject","Reject"
"Sales and Use Tax","Sales and Use Tax"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Config"
"Strikeiron Section","Strikeiron Section"
"Strikeiron foreign exchange rate is disabled","Strikeiron foreign exchange rate is disabled"
"Tax","Tax"
"There is an error in retrieving tax rate. Please contact us","There is an error in retrieving tax rate. Please contact us"
"There is an error in verifying an email. Please contact us.","There is an error in verifying an email. Please contact us."
"There is no more hits remaining for the foreign Exchange Rate Service.","There is no more hits remaining for the foreign Exchange Rate Service."
"There is no response back from Strikeiron server","There is no response back from Strikeiron server"
"US Address Verification","US Address Verification"
"Undetermined email action","Undetermined email action"
"Use","Use"
"User ID","User ID"
"Verify address in admin","Verify address in admin"
"Verify email in admin","Verify email in admin"
