"1 star","1 csillag"
"2 stars","2 csillag"
"3 stars","3 csillag"
"4 stars","4 csillag"
"5 stars","5 csillag"
"Add New Rating","Új értékelés"
"Assigned Options","Opciók társítása"
"Be the first to review this product","Legyen Ön az első aki értékeli ezt a terméket"
"Default Value","Alapértelmezett érték"
"Delete Rating","Értékelés törlése"
"Edit Rating","Értékelés szerkesztése"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Ha Ön nem adott meg a bolthoz kapcsolódó étékelési címet, akkor az alapértelmezett lesz használva."
"Manage Ratings","Értékelések kezelése"
"New Rating","Új értékelése"
"Option Label","Opció borító"
"Option Title","Opció neve"
"Option Title:","Option neve:"
"Please select one of each ratings above","Válasszon egyet egyet az fenti értékelésekből"
"Rating Information","Értékelés információk"
"Rating Name","Értékelés neve"
"Rating Options","Értékelés beállításai"
"Rating Title","Értékelés neve"
"Rating Visibility","Értékelés láthatósága"
"Rating isn't Available","Értékelés nem elérhető"
"Rating with the same title","Értékelés ugyan ezzel a címmel"
"Save Rating","Értékelés mentése"
"Visible In","Láthatóság"
