"-- Please select --","-- Kérem válasszon --"
"Allowed currencies","Engedélyezett pénznemek"
"Base currency","Alap pénznem"
"Cannot retrieve rate from %s","Nem lehet árfolyamot lekérni innen: %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Tovább &raquo;"
"Country","Ország"
"Country Api","Ország Api"
"Country and Format Type combination should be unique","Ország és formátum típus kombinációjának egyedinek kell lennie"
"Currency","Pénznem"
"Currency Options","Pénznem beállítások"
"Currency Setup","Pénznem opciók"
"Currency Update Warnings","Pénznem frissítés figyelmeztetések"
"Currency will be used for all online payment transactions","Pénznem használatban lesz minden online fizetési tranzakcióhoz"
"Default display currency","Alapértelmezett látható pénznem"
"Directory","Jegyzék"
"Enabled","Engedélyezve"
"Error Email Recipient","Hiba e-mail címzett"
"Error Email Sender","Hiba e-mail feladó"
"Error Email Template","Hiba e-mail sablon"
"FATAL ERROR:","FATÁLIS HIBA:"
"Frequency","Gyakoriság"
"Installed Currencies","Telepített pénznemek"
"Invalid Import Service Specified","Érvénytelen import szolgáltató meghatározva"
"Invalid country code: %s","Érvénytelen ország kód: %s"
"Invalid rates received","Érvénytelen ráták érkeztek"
"Invalid target currency","Érvénytelen cél pénznem"
"List of countries","Országok listája"
"List of regions in specified country","Régiók listája az adott országban"
"Region","Régió"
"Region Api","Régió Api"
"Remove space from currency sign","Szünet eltávolítása a pénznem jelből"
"Scheduled Import Settings","Időzített import beállítások"
"Select Your Currency","Válassza ki a pénznemét"
"Service","Szolgáltatás"
"Start Time","Kezdés időpontja"
"State/Province","Régió/Megye"
"Strikeiron Email Update Warnings","Strikeiron E-mail frissítés figyelmeztetés"
"Unable to initialize import model","Nem lehet előkészíteni az import modelt"
"Undefined rate from ""%s-%s""","Meghatározhatatlan értékek innen: ""%s-%s"""
"WARNING:","FIGYELMEZTETÉS:"
"Webservicex","Webservicex"
"Your current currency is: %s","Ön jelenlegi pénzneme: %s"
