"# of Uses","# alkalommal"
"%s tag(s) have been accepted for moderation","%s címke elfogadva, moderáció alatt."
"Action","Művelet"
"Actions","Műveletek"
"Add New Tag","Új címke"
"Add Tags","Címkék hozzáadása"
"Add Your Tags:","Címkék hozzáadása:"
"Add to Cart","Kosárba rak"
"Add to Wishlist","Kívánságlistára"
"All Tags","Összes címke"
"Approved","Jóváhagyva"
"Are you sure that you want to delete this tag?","Biztos benne hogy törölni szeretné ezt a címkét?"
"Are you sure you want to delete this tag?","Biztos benne hogy törli ezt a címkét?"
"Are you sure you want to do this?","Biztosan ezt akarja?"
"Are you sure?","Biztos benne?"
"Back","Vissza"
"Back to Tags List","Vissza a címkékhez"
"Back to view Tag","Vissza a címkéhez"
"Block Information","Blokk információ"
"CSV","CSV"
"Change status","Állapot változtatás"
"Click on a tag to view your corresponding products.","Kattintson egy címkére a kapcsolódó termékek listájához."
"Country","Ország"
"Customer Since","Mióta vevő"
"Customers","Vásárlók"
"Customers Tagged '%s'","Vevők akik címkézték '%s'"
"Delete","Törlés"
"Delete Tag","Címke törlése"
"Disabled","Tiltva"
"Edit Tag","Címke szerkesztése"
"Edit Tag '%s'","Címke szerkesztése '%s'"
"Email","E-mail"
"First Name","Keresztnév"
"General Information","Általános információ"
"Grid","Rács"
"ID","ID"
"Last Name","Vezetéknév"
"List","Lista"
"My Recent Tags","Legújabb címkéim"
"My Tags","Címkéim"
"Name","Név"
"New Tag","Új címke"
"No matches found.","Nem találtam ilyet."
"Other people marked this product with these tags:","Mások ezekkel a címkékkel látták el ezt a terméket:"
"Pending","Függőben"
"Pending Tags","Függő címkék"
"Popular","Népszerű"
"Popular Tags","Népszerű címkék"
"Popularity","Népszerűség"
"Price","Ár"
"Product Name","Termék név"
"Product SKU","Termék CSZ"
"Product Tags","Termék címkék"
"Products","Termékek"
"Products Tagged with '%s'","Termékek címkézve ezzel: '%s'"
"Products tagged with '%s'","Termékek címkézve ezzel: '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Termékek címkézve ezzel: '%s' (<a href='%s'>RSS</a>)"
"SKU","CSZ"
"Save Tag","Címke mentése"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Keresési eredmények erre: %s (<a href='%s'>RSS</a>)"
"Search Terms","Keresett szavak"
"Status","Állapot"
"Tag","Címke"
"Tag ""%s"" has already been added to the product","Címke (%s) már hozzáadva a termékhez."
"Tag Information","Címke információ"
"Tag Name","Címke neve"
"Tag Name: %s","Címke neve: %s"
"Tag can't be empty.","Címke nem lehet üres."
"Tagged in","Címkézve:"
"Tags","Címkék"
"Tags Aren't Available","Címkék nem elérhetők"
"Tags:","Címkék:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Köszönjük. Címkéje elfogadva, jelenleg moderáció alatt."
"Unable to find any products tagged with '%s' in the current store","Nem található egy termék sem ezzel a címkével (%s) ebben a boltban"
"Unable to remove tag. Please, try again later.","A címkét nem sikerült eltávolítani. Próbálja meg később."
"Unable to save tag(s)","Sikertelen címke mentés"
"Unable to save your tag. Please, try again later.","Sikertelen címke mentés, próbálja meg később."
"Use spaces to separate tags. Use single quotes (') for phrases.","Használjon szünetet a címkék elválasztásához. Használja az aposztróf jelet (') kifejezésekhez."
"Uses","Használat"
"View All","Összes"
"View All Tags","Összes címke"
"View Customers","Vásárlók megtekintése"
"View Products","Termékek megtekintése"
"Visible In","Láthatóság"
"XML","XML"
"You have not tagged any products yet.","Ön még nem címkézett meg egyetlen terméket sem."
"Your tag was successfully deleted","A címkéje sikeresen törölve"
"Your tag was successfully saved","A címkéje sikeresen elmentve"
"ZIP/Post Code","Irányítószám"
"You have not tagged any products yet.","You have not tagged any products yet."
