"Actions","Акции"
"Add Answer","Додади одговор"
"Add New Answer","Додади нов одговор"
"Add New Poll","Додади нова анкета"
"Answer Title","Назив на одоговорот"
"Answer Title:","Назив на одговорот:"
"Answer was successfully saved","Одговорот е успешно зачуван"
"Answer with the same title in this poll","Answer with the same title in this poll"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Assigned Answers","Назначени одговори"
"Closed","Затворена"
"Community Poll","Анкета"
"Date Closed","Датум на затварање"
"Date Posted","Датум на испраќање"
"Delete","Избриши"
"Delete Answer","Избриши одговор"
"Delete Poll","Избриши анкета"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Измени одговор '%s'"
"Edit Poll '%s'","Измени анкета '%s'"
"Edit Poll Answer","Измени го одговорот"
"ID","ID"
"Invalid Answer","Невалиден одговор"
"New Poll","Нова анкета"
"Number of Responses","Број на одговори"
"Open","Отвори"
"Poll Answers","Одговори"
"Poll Information","Информации за анкетата"
"Poll Manager","Poll Manager"
"Poll Question","Прашање на анактета"
"Poll information","Информации за анкетата"
"Poll not exists","Анкетата не постои"
"Poll with the same question","Poll with the same question"
"Save Answer","Зачувај одговор"
"Save Poll","Зачувај анкета"
"Status","Статус"
"Unable to find answer to delete.","Unable to find answer to delete."
"Visible In","Видливо во"
"Vote","Гласај"
"Votes Count","Број на гласови"
"Votes Count:","Број на гласови:"
