"ALL","СИТЕ"
"ANY","БИЛО КОЕ"
"Add","Додади"
"Apply","Apply"
"Description: %s","Опис: %s"
"Expire at: %s","Истекува на: %s"
"FALSE","НЕТОЧНО"
"If %s of these conditions are %s:","Ако %s од овие услове се %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Име: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Изврши ги следниве акции"
"Please choose a condition to add...","Изберете услов за додавање..."
"Please choose an action to add...","Избрете акција за додаваљње..."
"Remove","Отстрани"
"Start at: %s","Започнува на: %s"
"TRUE","ТОЧНО"
"by","од"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","до"
