"Action","Акција"
"All types","Сите типиви"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","Датотеката за резервна копија не постои"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Резерни копии"
"Cannot read backup file","Неуспешно креирање на датотеката за резервна копија"
"Create Backup","Креирај резервна копија"
"DB","DB"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Преземи"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Датотеката е компресирана со, но оваа екстензија не е инсталирана на серверот"
"Size, byte","Size, byte"
"Time","Време"
"Type","Тип"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Погрешен редослед за креирање на нова резерна копија"
