"%s and greater","%s и повеќе"
"Advanced Search","Напредно пребарување"
"All","Сите"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Автоматски генерирана мапа на локацијата"
"Catalog Advanced Search","Напредно пребарување на каталогот"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Оди на почетна страница"
"Grid","Мре=а"
"Home","Почетна"
"List","Листа"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modify your search"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Популарни термини за пребарување"
"Popular search terms","Популарни термини за пребарување"
"Relevance","Relevance"
"Required Fields","Задолжителни полиња"
"Results","Резултати"
"Search","Барај"
"Search Settings","Поставки за пребарувањето"
"Search Site","Пребарувај ја локациајта"
"Search Terms","Search Terms"
"Search Type","Search Type"
"Search entire store here...","Search entire store here..."
"Search results for '%s'","Резултати од пребарување за '%s'"
"Search results for: '%s'","Резултати од пребарување за: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Не се достапни термини за пребарување."
"Yes","Yes"
"You have to specify at least one search term","Мора да назчаните барем еден термин за пребарување"
"Your search returns no results.","Пребарувањето не даде резултати."
"up to %s","се до %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
