"-- Please Select --","-- Prosim izberi --"
"Add New Class","Dodaj nov Razred"
"Add New Tax Rate","Dodaj novo davèno stopnjo"
"Add New Tax Rule","Dodaj novo davèno pravilo"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Ste preprièani to izvesti?"
"Back","Nazaj"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Class Name"
"Code","Code"
"Country","Država"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","County"
"Custom price if available","Custom price if available"
"Customer Tax Class","Customer Tax Class"
"Customer Tax Class Information","Customer Tax Class Information"
"Customer Tax Classes","Customer Tax Classes"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Delete Class"
"Delete Rate","Izbriši stopnjo"
"Delete Rule","Izbriši pravilo"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Edit Class"
"Edit Class '%s'","Edit Class '%s'"
"Edit Rule","Uredi pravilo"
"Edit Tax Rate","Uredi davèno stopnjo"
"Error while deleting this class. Please try again later.","Error while deleting this class. Please try again later."
"Error while deleting this rate. Incorrect rate ID","Error while deleting this rate. Incorrect rate ID"
"Error while deleting this rate. Please try again later.","Error while deleting this rate. Please try again later."
"Error while deleting this tax rule. Please try again later.","Error while deleting this tax rule. Please try again later."
"Error while saving this rate. Please try again later.","Error while saving this rate. Please try again later."
"Error while saving this tax class. Class with the same name ","Error while saving this tax class. Class with the same name "
"Error while saving this tax class. Please try again later.","Error while saving this tax class. Please try again later."
"Error while saving this tax rule. Please try again later.","Error while saving this tax rule. Please try again later."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Excl. Tax"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Izvozi davène stopnje"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Uvozi / Izvozi Davène Stopnje"
"Import Tax Rates","Vstavi davène stopnje"
"Inc. Tax","Inc. Tax"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Incorrect rate Data"
"Invalid data for tax rate calculation","Invalid data for tax rate calculation"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Upravljaj z Davènimi stopnjami"
"Manage Tax Rules","Upravljaj z davènimi pravili"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","New Class"
"New Rule","Novo pravilo"
"New Tax Rate","Nova davèna stopnja"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Prosim izberite državo"
"Please select County","Please select County"
"Please select State","Please select State"
"Priority","Priority"
"Product Tax Class","Product Tax Class"
"Product Tax Class Information","Product Tax Class Information"
"Product Tax Classes","Product Tax Classes"
"Rate","Rate"
"Reset","Resetiraj"
"Sales","Prodaja"
"Save Class","Save Class"
"Save Rate","Shrani stopnjo"
"Save Rule","Shrani pravilo"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","State"
"State/Region","State/Region"
"Tax","Davek"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Davèna stopnja"
"Tax Rate Information","Informacija o davèni stopnji"
"Tax Rule Information","Informacije davènih pravil"
"Tax Rules","Davèna pravila"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Tax class was successfully deleted"
"Tax class was successfully saved","Tax class was successfully saved"
"Tax rate was successfully deleted","Davèna stopnja je izbrisana"
"Tax rate was successfully imported","Davèna stopnja je vstavljena"
"Tax rate was successfully saved","Davèna stopnja je shranjena"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Davèno pravilo izbrisano"
"Tax rule was successfully saved","Davèno pravilo shranjeno"
"This class no longer exists","This class no longer exists"
"This rule no longer exists","To pravilo veè ne obstaja"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this tax class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first."
"Zip/Post Code","Poštna številka"
