"%d Review(s)","%d Ocen"
"%s Review(s)","%s Ocen"
"(Posted on %s)","(Pripisano %s)"
"1 star","1 zvezdica"
"2 stars","2 zvezdici"
"3 stars","3 zvezdice"
"4 stars","4 zvezdice"
"5 stars","5 zvezdic"
"Add New Review","Dodaj novo oceno"
"Add Your Review","Add Your Review"
"Administrator","Administrator"
"All Reviews","Vse ocene"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Ste preprièani to izvesti?"
"Are you sure?","Ste preprièani?"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Nazaj"
"Back to Main Product Info","Back to Main Product Info"
"Back to My Reviews","Back to My Reviews"
"Back to Product Reviews","Back to Product Reviews"
"Be the first to review this product","Be the first to review this product"
"Created On","Created On"
"Customer","Kupec"
"Customer Reviews","Customer Reviews"
"Delete","Izbriši"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Gost"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","My Recent Reviews"
"Name","Ime"
"Name In Store","Ime v trgovini"
"New Review","New Review"
"Nickname","Vzdevek"
"Pending Reviews","Pending Reviews"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Posted By"
"Price","Cena"
"Product","Artikl"
"Product Name","Ime Artikla"
"Product Rating","Ocena artikla"
"Product Rating:","Ocena artikla:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Product Reviews"
"Product SKU","Product SKU"
"Qty","Kolièina"
"Rating:","Ocena:"
"Review","Review"
"Review Details","Review Details"
"Review by %s","Review by %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Save Review"
"Status","Status"
"Submit Review","Submit Review"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
"Summary of Your Review","Summary of Your Review"
"Summary of review","Summary of review"
"Title","Naslov"
"Type","Tip"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Posodobi status"
"View All Reviews","View All Reviews"
"View Details","Poglej podrobnosti"
"Visible In","Vidno v"
"Websites","Websites"
"Write Your Own Review","Write Your Own Review"
"You have submitted no reviews.","You have submitted no reviews."
"You're reviewing: %s","You're reviewing: %s"
"Your Rating:","Vaša ocena:"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been accepted for moderation","Your review has been accepted for moderation"
"OR","OR"
"My Product Reviews","My Product Reviews"
