"1 star","1 zvezdica"
"2 stars","2 zvezdici"
"3 stars","3 zvezdice"
"4 stars","4 zvezdice"
"5 stars","5 zvezdic"
"Add New Rating","Add New Rating"
"Assigned Options","Assigned Options"
"Be the first to review this product","Be the first to review this product"
"Default Value","Default Value"
"Delete Rating","Delete Rating"
"Edit Rating","Edit Rating"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","If you do not specify a rating title for a store, the default value will be used."
"Manage Ratings","Manage Ratings"
"New Rating","Nova ocena"
"Option Label","Option Label"
"Option Title","Option Title"
"Option Title:","Option Title:"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating Information","Informacije o oceni"
"Rating Name","Ime ocene"
"Rating Options","Možnosti ocen"
"Rating Title","Naslov ocene"
"Rating Visibility","Rating Visibility"
"Rating isn't Available","Rating isn't Available"
"Rating with the same title","Ocena z enakim naslovom"
"Save Rating","Shrani oceno"
"Visible In","Vidno v"
