"Add Recipient","Dodaj prejemnika"
"Allow for Guests","Dovoli za Goste"
"Email Address","Email Naslov"
"Email Address:","Email Naslov:"
"Email templates","Email templates"
"Email to a Friend","Email prijatelju"
"Email:","Email:"
"Enabled","Vkljuèeno"
"Limit Sending By","Limitiraj pošiljanje po"
"Link to a friend was sent.","Link to a friend was sent."
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Max Recipients","Max število prejemnikov"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Message:","Sporoèilo:"
"Name","Ime"
"Name:","Ime:"
"Recipient:","Prejemnik:"
"Remove Email","Odstrani Email"
"Select email template","Select email template"
"Send email","Pošlji email"
"Send product to a friend","Pošlji artikel prijatelju"
"Sender:","Pošiljatelj:"
"Some emails was not sent","Nekateri email-i niso bili poslani"
"Some problems with data.","Nekateri problemi s podatki."
"You cannot email this product to a friend","Tega artikla ne morete poslati prijatelju po emailu"
"You cannot send more than %d times in an hour","Ne morete poslati veè kot %d krat na uro"
