" Copy"," Kopiraj"
"Action","Action"
"Add New Template","Add New Template"
"Add to Queue","Add to Queue"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Nazaj"
"Cancel","Preklièi"
"Cancelled","Preklicano"
"Cannot delete subscriber","Ne morem izbrisati naroènika"
"Cannot delete template","Cannot delete template"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","Cannot save your subscription: %s"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Confirmation request has been sent","Confirmation request has been sent"
"Convert to Plain Text","Spremeni v Navadni tekst"
"Create Newsletter Template","Create Newsletter Template"
"Customer","Kupec"
"Customer Firstname","Ime kupca"
"Customer Lastname","Priimek kupca"
"Date Added","Dodano na Datum"
"Date Updated","Posodobljeno na datum"
"Delete Selected Problems","Izbriši oznaèene probleme"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Duplicate of template code","Duplicate of template code"
"Edit Newsletter","Uredi novico"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","Email"
"Enter your email address","Enter your email address"
"Error Code","Koda napake"
"Error Text","Besedilo napake"
"Form was filled incorrectly","Obrazec je nepravilno izpolnjen"
"Guest","Gost"
"ID","ID"
"Invalid queue selected","Invalid queue selected"
"Invalid subscriber ID","Invalid subscriber ID"
"Invalid subscription ID","Invalid subscription ID"
"Invalid subscription confirmation code","Invalid subscription confirmation code"
"Message","Sporoèilo"
"Need to Confirm","Need to Confirm"
"New Newsletter Template","New Newsletter Template"
"New Template","New Template"
"Newsletter","Novice"
"Newsletter Message Preview","Predogled sporoèila novice"
"Newsletter Problem Reports","Poroèilo problemov za Novice"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Prijavi za prejemanje Novic"
"Newsletter Subscribers","Prijavi na Novice"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Templates","Newsletter Templates"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Newsletter subscription success","Newsletter subscription success"
"Newsletter unsubscription success","Newsletter unsubscription success"
"No Templates Found","No Templates Found"
"No problems found","Ne najdem problemov"
"No subscribers selected","Niste izbrali naroènikov"
"Not Sent","Ni poslano"
"Not activated","Ni aktivirano"
"Pause","Pavza"
"Paused","Pavzirano"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Please enter new template name"
"Please select subscriber(s)","Prosim izberite naroènika(e)"
"Preview","Predogled"
"Preview Template","Preview Template"
"Processed","Procesirano"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Information","Queue Information"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Queue Start"
"Queue Subject","Queue Subject"
"Recipients","Prejemniki"
"Reset","Resetiraj"
"Resume","Nadaljuj"
"Return Html Version","Povrni Html Verzijo"
"Save And Resume","Shrani in Nadaljuj"
"Save As","Shrani kot"
"Save Newsletter","Shrani Novico"
"Save Template","Save Template"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Selected problems successfully deleted","Selected problems successfully deleted"
"Sender","Pošiljatelj"
"Sender Email","Email Pošiljatelja"
"Sender Name","Ime Pošiljatelja"
"Sending","Pošiljam"
"Sending Options","Sending Options"
"Sent","Poslano"
"Set Return-Path","Set Return-Path"
"Sign me up","Vèlani me"
"Sign up for our newsletter:","Vèlani se za naše Novice:"
"Start","Start"
"Status","Status"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Subject","Subject"
"Subscribe","Naroèi"
"Subscribed","Subscribed"
"Subscriber","Naroènik"
"Subscribers","Naroèniki"
"Subscribers From","Naroèniki Novic od"
"Subscription Options","Možnosti naroèil na novice"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Template Type","Template Type"
"Thank you for your subscription","Hvala za vašo naroèilo"
"The subscription was successfully saved","The subscription was successfully saved"
"There was a problem with the subscription","There was a problem with the subscription"
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"There was an error while saving your subscription","There was an error while saving your subscription"
"Toggle Editor","Toggle Editor"
"Type","Tip"
"Unsubscribe","Odnaroèi"
"Unsubscribe Selected","Unsubscribe Selected"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"View Newsletter","Pogled novice"
"Website","Spletna Stran"
"You have been successfully unsubscribed.","You have been successfully unsubscribed."
"Your subscription was successfully confirmed","Your subscription was successfully confirmed"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
