"Action","アクション"
"All types","全ての方法"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","バックアップがありません"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","バックアップ"
"Cannot read backup file","バックアップファイルを読めません"
"Create Backup","バックアップ作成"
"DB","データベース"
"Database was successfuly backed up.","データベースはバックアップされました。"
"Download","ダウンロード"
"Error write to Backup file ""%s""","バックアップファイル ""%s"" を書き込み中にエラーが発生しました"
"File compressed with Zlib, but this extension is not installed on server","ファイルはZipで圧縮されていますが、エクステンションがサーバーにインストールされていません。"
"Size, byte","サイズ, byte"
"Time","時間"
"Type","方法"
"Unable to create backup. Please, try again later.","バックアップできませんでした。後でもう一度お試しください。"
"Wrong order of creation for new backup","新しいバックアップの誤った作成指示です"
