"Actions","アクション"
"Are you sure?","よろしいですか？"
"Date Added","登録日"
"Error while marking as read. Please try again later.","既読に変更中にエラーが発生しました。やり直してください。"
"Error while marking. Please try again later.","マーク追加中にエラーが発生しました。やり直してください。"
"Error while removing. Please try again later.","削除中にエラーが発生しました。やり直してください。"
"Last update","最終更新日"
"Mark as Read","既読にする"
"Mark as read","読み取り用としてマーク"
"Message","メッセージ"
"Message was successfully marked as read","メッセージを既読にしました。"
"Message was successfully removed","メッセージを削除しました。"
"Messages Inbox","受信箱"
"Notifications","注意"
"Please select messages","メッセージを選択してください"
"Read Details","詳細を読む"
"Remove","削除"
"Severity","重要度"
"Show List","リストを表示"
"Show Toolbar","ツールバーを表示"
"Total of %d record(s) were successfully marked as read","%d 件のメッセージを既読にしました"
"Total of %d record(s) were successfully removed","%d 件のメッセージを削除しました"
"Unable to proceed. Please, try again","処理できません。やり直してください。"
"Update frequency","更新頻度"
"Use HTTPS to get feed","フィードの取得にHTTPSを使用する"
"critical","重要"
"major","メジャー"
"minor","マイナー"
"notice","お知らせ"
