"* Select shipping method","* 配送方法を選択してください"
"AVS Status: %s","AVSステータス: %s"
"Add","追加"
"Add Shipping Method","配送方法の追加"
"Allowed Methods","許可手順"
"Amount: %s","総額: %s"
"Auto-generated from GoogleCheckout Charge","Googleチェックアウト料金から自動生成する"
"Buyer account age: %s days","Buyer account age: %s 日"
"CC Partial: xxxx-%s","クレジットカード番号: xxxx-%s"
"CID Status: %s","CIDステータス: %s"
"Carrier Calculated Methods","配達料計算"
"Cart Discount","カート割引"
"Checkout Image Style","チェックアウト画像スタイル"
"Continue Shopping URL","買い物を続けるURL"
"Debug","デバッグ"
"Default Package Height (in)","初期パッケージの高さ (内部)"
"Default Package Length (in)","初期パッケージの長さ (内部)"
"Default Package Width (in)","初期パッケージの幅 (内部)"
"Default price for methods","デフォルト価格"
"Default price:","ディフォルト価格:"
"Delivery Address Category","配送先カテゴリ"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","不可能な初期税表"
"Eligible for protection: %s","補償対象: %s"
"Enable","有効"
"Enable Carrier Calculated","計算可能な配送"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","可能な均一料金"
"Enable Merchant Calculated","計算可能な店舗"
"Enable this if your checkout request is too big and being cut off.","チェックアウトリクエストが大きく止められている場合は許可してください。"
"Expiration: %s","期限切れ: %s"
"Financial: %s -> %s","ファイナンス: %s -> %s"
"Free Shipping","無料配送"
"Fulfillment: %s -> %s","フルフィルメント: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google認証:"
"Google Buyer Id: %s","GoogleバイヤーID: %s"
"Google Charge:","Google 費用:"
"Google Checkout","Google チェックアウト"
"Google Checkout Shipping - Carrier Calculated","Googleチェックアウトで配送 - 配送会社で計算"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","Googleチェックアウトで配送 - 固定費用"
"Google Checkout Shipping - Merchant Calculated","Googleチェックアウトで配送 - 店舗で計算"
"Google Checkout: %s","Googleチェックアウト: %s"
"Google Order Number: %s","Google注文番号: %s"
"Google Refund:","Google返金済み:"
"Google Risk Information:","Googleリスク情報:"
"Google order status change:","Google注文状態変更:"
"Hide Cart Contents During Checkout","チェックアウト中に買い物かごの中身を隠す"
"IP Address: %s","IP アドレス： %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","もし可能なら、ショッピングカート内のGoogleチェックアウトボタンをクリックした後にカート内容を非表示にし、""カート編集""リンクを有効にしてください。"
"Invoice auto-created: %s","自動生成された請求書: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","バイヤーはマーケティングメールを受け取ります: %s"
"Large - %s","多数 - %s"
"Latest Charge: %s","最終請求日時: %s"
"Latest Refund: %s","最新の返金: %s"
"Location","場所"
"Medium - %s","中間 - %s"
"Merchant ID","マーチャント ID"
"Merchant Key","マーチャント Key"
"Method","Method"
"New order status","新規受注のステータス"
"No","いいえ"
"Optional, leave empty for home page.","オプション、ホームページでは空白のまま"
"Rate 1 Amount","総額"
"Rate 1 Ship To Applicable Countries","適用可能な国への出荷料金"
"Rate 1 Ship to Specific Countries","指定した国への出荷料金"
"Rate 1 Title","タイトル率"
"Rate 2 Amount","総額"
"Rate 2 Ship To Applicable Countries","適用可能な国への出荷料金"
"Rate 2 Ship to Specific Countries","指定した国への出荷料金"
"Rate 2 Title","タイトル率"
"Rate 3 Amount","総額"
"Rate 3 Ship To Applicable Countries","適用可能な国への出荷料金"
"Rate 3 Ship to Specific Countries","指定した国への出荷料金"
"Rate 3 Title","タイトル率"
"Remove","移動"
"Required for live Google Checkout transactions.","Googleチェックアウト処理に必要です。"
"Sandbox","サンドボックス"
"Secure Callback URL","セキュアコールバックＵＲＬ"
"Small - %s","少数 - %s"
"Total Charged: %s","合計請求額: %s"
"Total Refunded: %s","返金額合計: %s"
"Transparent","明瞭"
"United Kingdom","イギリス"
"United States","アメリカ"
"Virtual item to reflect discount total","仮想商品はディスカウント合計を反映します"
"White Background","空白の背景"
"You will be redirected to GoogleCheckout in a few seconds.","数秒でGoogleチェックアウトにリダイレクトされます"
