"-- Please select --","-- 選択してください --"
"Allowed currencies","許可する通貨"
"Base currency","基本通貨"
"Cannot retrieve rate from %s","%sからレートを取得できませんでした"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","続ける &raquo;"
"Country","国"
"Country Api","国API"
"Country and Format Type combination should be unique","国とフォーマットタイプの組み合わせはユニークである必要があります"
"Currency","通貨"
"Currency Options","通貨オプション"
"Currency Setup","通貨セットアップ"
"Currency Update Warnings","通貨更新警告"
"Currency will be used for all online payment transactions","オンライン支払い業務に通貨が使用されます"
"Default display currency","ディフォルトで表示される通貨"
"Directory","階層"
"Enabled","有効"
"Error Email Recipient","Email受信者エラー"
"Error Email Sender","Email送信者エラー"
"Error Email Template","Emailテンプレートエラー"
"FATAL ERROR:","致命的なエラー:"
"Frequency","頻度"
"Installed Currencies","インストール済み通貨"
"Invalid Import Service Specified","不正なインポート処理があります"
"Invalid country code: %s","不正な国コードです: %s"
"Invalid rates received","不正なレートを受信しました"
"Invalid target currency","無効なターゲット通貨"
"List of countries","国リスト"
"List of regions in specified country","特定の国の地域リスト"
"Region","地域"
"Region Api","地域API"
"Remove space from currency sign","通貨表記からスペースを除去する"
"Scheduled Import Settings","スケジュールされたインポート設定"
"Select Your Currency","通貨を選択してください"
"Service","サービス"
"Start Time","開始時間"
"State/Province","県・地方"
"Strikeiron Email Update Warnings","メールでアップデート通知を行う"
"Unable to initialize import model","インポートしたモデルを初期化できませんでした"
"Undefined rate from ""%s-%s""","""%s-%s""の定義されていないレート"
"WARNING:","警告:"
"Webservicex","Webservicex"
"Your current currency is: %s","現在の通貨: %s"
