"Billing Information","購入者情報"
"Change Payment Method","支払方法変更"
"Change Shipping Address","お届け先変更"
"Edit Shopping Cart","ショッピングカート変更"
"Email","Email"
"Incl. Tax","税込"
"Items in Your Shopping Cart","カートの中身"
"No shipping method required.","どの発送方法も必要ありません。"
"PayPal Account","PayPalアカウント"
"PayPal Email","PayPalメール"
"Payment Method","支払方法"
"Place an Order","注文する"
"Please select a shipping method...","配送方法を選択してください"
"Price","価格"
"Product Name","商品名"
"Qty","個数"
"Review Order","注文の確認"
"Shipping Address","配送先"
"Shipping Information","配送情報"
"Shipping Method","配送方法"
"Sorry, no quotes are available for this order at this time.","申し訳ありません、現在品切れです。"
"Submitting order information...","注文情報を送信中です。。。"
"Subtotal","小計"
"Update Shipping Method","配送方法を更新する"
"You will be redirected to PayPal website when you place an order.","注文を確定するとPalPalウェブサイトにリダイレクトされます"
"You will be redirected to Paypal in a few seconds.","２，３秒でPaypalに再度飛びます。"
"Your billing address will be ignored and you will be redirected to PayPal website","請求先住所が拒否されました。Paypalのサイトに転送します。"
