"Add Recipient","新規受け取り先の追加"
"Allow for Guests","ゲストに許可する"
"Email Address","メールアドレス"
"Email Address:","メールアドレス:"
"Email templates","メールテンプレート"
"Email to a Friend","友達にメールする"
"Email:","Eメール:"
"Enabled","有効"
"Limit Sending By","送信制限"
"Link to a friend was sent.","友達へリンクを送信しました"
"Max Products Sent in 1 Hour","1時間あたりの最大送信量"
"Max Recipients","最大受信者数"
"Maximum %d email addresses allowed.","最大%d件のメールアドレスを許可する"
"Message:","メッセージ:"
"Name","名前"
"Name:","名前:"
"Recipient:","受信者:"
"Remove Email","メールの削除"
"Select email template","メールテンプレート選択"
"Send email","メール送信"
"Send product to a friend","友達に商品を送る"
"Sender:","送信者:"
"Some emails was not sent","いくつかのemailが送信されませんでした"
"Some problems with data.","データにいくつかの問題があります"
"You cannot email this product to a friend","この商品を友達に紹介できません"
"You cannot send more than %d times in an hour","一時間に%d回以上送信できません"
