"Actions","アクション"
"Add Answer","回答を追加"
"Add New Answer","回答を追加"
"Add New Poll","新しい投票を追加"
"Answer Title","回答タイトル"
"Answer Title:","回答タイトル:"
"Answer was successfully saved","回答を保存しました"
"Answer with the same title in this poll","同じタイトルの回答がすでに投票にあります。"
"Are you sure you want to delete it?","削除しても構わないですか？"
"Assigned Answers","割り当て済みの回答"
"Closed","閉じる"
"Community Poll","投票"
"Date Closed","終了日"
"Date Posted","登録日"
"Delete","削除"
"Delete Answer","回答を削除"
"Delete Poll","投票を削除"
"Disallow voting in a poll multiple times from same IP-address","同じIPアドレスからの複数回の投票を拒否する"
"Edit Answer '%s'","答え'%s'を編集"
"Edit Poll '%s'","投票'%s'編集"
"Edit Poll Answer","投票の回答を編集"
"ID","ID"
"Invalid Answer","不正な回答"
"New Poll","新しい投票"
"Number of Responses","回答数"
"Open","開く"
"Poll Answers","投票の回答"
"Poll Information","投票情報"
"Poll Manager","投票管理"
"Poll Question","投票の質問"
"Poll information","投票情報"
"Poll not exists","投票はありません"
"Poll with the same question","同じ回答の投票があります"
"Save Answer","回答の保存"
"Save Poll","投票の保存"
"Status","状態"
"Unable to find answer to delete.","回答を削除できません。"
"Visible In","表示"
"Vote","投票"
"Votes Count","投票数"
"Votes Count:","投票数:"
