"--Please Select--","--選択してください--"
"<label>Make Check payable to:</label> %s","<label>小切手の振出先を指定:</label> %s"
"<label>Make Check payable to</label>: %s","<label>小切手の振出先を指定</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","支払方法の設定ができません: %s"
"Can not retrieve payment info model object.","支払方法を取得できません。"
"Can not retrieve payment method instance","支払方法を取得できません"
"Can not retrieve payment method model object.","支払方法を取得できません"
"Card Verification Number","カード確認番号"
"Check / Money order","振込による注文"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: %s","クレジットカード番号: %s"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Card Types","クレジットカード会社"
"Credit Card Verification","クレジットカード確認"
"Enabled","有効"
"Expiration Date","有効期限"
"Expiration Date: %s/%s","有効期限: %s/%s"
"Make Check payable to","小切手の振出先を指定"
"Make Check payable to: %s","小切手の振出先を指定: %s"
"Maximum Order Total","オーダー合計最大値"
"Minimum Order Total","オーダー合計最小値"
"Month","月"
"Name on Card","カード名義"
"Name on the Card: %s","カードの名義: %s"
"New order status","新しい受注ステータス"
"Payment Methods","支払方法"
"Payment Methods Section","支払方法項目"
"Payment from Specific countries","特定の国からの支払い"
"Payment from applicable countries","購入可能な国からの支払い"
"Purchase Order Number","出荷番号"
"Purchase Order Number: %s","出荷番号: %s"
"Purchase order","出荷"
"Saved CC","保存したクレジットカード"
"Send Check to","Send Check to"
"Send Check to:","小切手の送先を指定:"
"Sort order","受注の並べ替え"
"Title","タイトル"
"What is this?","暗証番号とは？"
"Year","年"
"Zero Subtotal Checkout","ゼロ合計チェックアウト"
