"%s is not correct comparsion method.","%sは正しい比較方法ではありません。"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>注意してください。</strong> これらの設定はカートラインアイテムに対して適用されるのであって、すべてのカートに対してではありません。"
"Allow Qty Below 0","在庫数0個以下を許可する"
"Allow Qty Below 0 and Notify Customer","0以下を許可し、顧客に通知する"
"Backorders","バックオーダー"
"By Fixed value","固定額"
"By Percentage","固定率"
"Can not specify product identifier for order item","ご注文の商品を識別できません。"
"Catalog Inventory","カタログ在庫品"
"Decrease Stock When Order is Placed","受注を受けると在庫を減らす。"
"In Stock","在庫"
"Inventory","在庫"
"Inventory API","棚卸API"
"Inventory Section","在庫品セクション"
"Manage Stock","在庫管理"
"Maximum Qty Allowed in Shopping Cart","カートの中の最大個数を許可する"
"Minimum Qty Allowed in Shopping Cart","カートの中の最小個数を許可する"
"No Backorders","バックオーダーなし"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Out of Stock","在庫切れ"
"Product Stock Options","製品在庫オプション"
"Qty for Items' Status to become Out of Stock","在庫切れになるアイテムステータスの＊"
"Retrieve stock data","回収ストックデータ"
"Retrieve stock data by product ids","商品IDを使って在庫情報を復元する"
"Rule price","値引き"
"Set Items' Status to be In Stock When Order is Cancelled","受注がキャンセルされたときにはセット商品の状態を在庫ありにします"
"Some of the products are currently out of stock","幾つかの商品は現在在庫切れです。"
"Some of the products can not be ordered in requested quantity","幾つかの商品は指定された量を注文になれません。"
"Some of the products cannot be ordered in the requested quantity","幾つかの商品は指定された量を注文になれません。"
"Stock Options","ストックオプション"
"Stock item for Product in option is not valid","商品の在庫数オプションが正しくありません"
"Stock item for Product is not valid","商品の在庫数が正しくありません"
"The maximum quantity allowed for purchase is %s.","購入可能な最大量は%sです。"
"The minimum quantity allowed for purchase is %s.","購入可能な最小量は%sです。"
"The requested quantity for ""%s"" is not available.","""%s""への要求された数量はご用意できません。"
"The requested quantity is not available.","ご希望の在庫数がありません。"
"This product is currently out of stock.","この商品は現在在庫切れです。"
"To Fixed Value","固定額"
"To Percentage","固定率"
"Update","アップデート"
"Update product stock data","商品在庫データを更新する"
"Update the Product","商品を更新する"
