"# of Use","# 使用中"
"%1$s incl tax.","%1$s 税込"
"%s - %s","%s - %s"
"%s Item(s)","%s件の商品"
"(Copy data from: %s)","(コピーしています: %s)"
"(Will make search for the query above return results for this search.)","(上記の検索クエリはこの検索結果を返します)"
"* Required Fields","* 要求されたフィールド"
"-- Please Select --","-- 選択して下さい --"
"A name is required","名前が必要です。"
"ALL GROUPS","すべてのグループ"
"AM","AM"
"Action","アクション"
"Add Attribute","属性の追加"
"Add Design Change","デザインの変更を追加"
"Add Group","グループの追加"
"Add Items to Cart","商品をカートに追加"
"Add New","新規作成"
"Add New Attribute","新規属性の追加"
"Add New Attribute Set","新規属性の追加"
"Add New Group","新規グループの追加"
"Add New Images","新しい画像を追加"
"Add New Option","新規オプションの追加"
"Add New Row","新規行の追加"
"Add New Search Term","新しい検索ワードを追加"
"Add New Set","新規セットの追加"
"Add Option","新規オプションの追加"
"Add Product","新規商品の追加"
"Add Product To Websites","商品をウェブサイトに追加する"
"Add Root Category","ルートカテゴリを追加"
"Add Subcategory","サブカテゴリを追加"
"Add Tax","税を追加"
"Add Tier","新規階層の追加"
"Add to Cart","カートに入れる"
"Add to Compare","比較リストに追加"
"Add to My Wishlist","ほしい物リストに追加"
"Add to Wishlist","ほしい物リストに追加"
"Additional Information","追加情報"
"All","全て"
"All Product Types","すべての商品タイプ"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","全ての商品からこのセットが削除されます！ この属性セットを削除してもよろしいですか？"
"Allow HTML-tags on Front-end","前後にHTMLタグを与える"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","適用する"
"Apply To Configurable/Grouped Product","グループ化した商品に適用する"
"Approved","承認"
"Are you sure you want to delete this category?","このカテゴリを削除してもいいですか？"
"Are you sure you would like to remove all products from your comparison?","本当に比較の中からすべての商品を取り除きますか?"
"Are you sure you would like to remove this item from the compare products?","この商品を比較対象リストから削除してもいいですか？"
"Are you sure?","本当によろしいですか？"
"As low as:","できるだけ低く:"
"Assign","割り当て"
"Assign product link","割り当てた商品のリンク"
"Assign product to category","商品をカテゴリに割り当て"
"Assigned Products","割り当て済み商品"
"Associated Products","関連する商品"
"Attrib. Set Name","属性・セット名"
"Attribute Code","属性コード"
"Attribute Information","属性情報"
"Attribute Label","属性のラベル"
"Attribute Model","属性のモデル"
"Attribute Name:","属性の名前:"
"Attribute Properties","属性のプロパティ"
"Attribute Set","属性"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","属性が定義されていません。"
"Attribute with the same code already exists","同じコードの属性が既に存在します。"
"Attributes","属性"
"Attrribute names can be specified per store.","属性名は店舗ごとに指定できます。"
"Autogenerate","自動生成"
"Availability","有効性"
"Availability: In stock.","在庫状況：在庫あり"
"Availability: Out of stock.","在庫状況：在庫切れです"
"Back","戻る"
"Backend Model","バックエンドモデル"
"Backend Table","バックエンドテーブル"
"Backend Table Title","バックエンドテーブルタイトル"
"Backorders","バックオーダー"
"Base directory to upload image file is not specified","画像ファイルをアップロードするベースディレクトリが指定されていません。"
"Based On","元"
"Best Value","お買い得"
"Block after Info Column","情報列の後にブロックを配置する"
"Bottom/Left","下部/左"
"Bottom/Right","下/右"
"Browse By","閲覧数"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s お買い上げごとに %2$s (税込み %3$s) "
"Buy %1$s for %2$s each","%1$s お買い上げごとに %2$s"
"Can be used only with catalog input type Dropdown","カタログのドロップダウンとだけ一緒に使用できます"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ドロップダウンリストは複数選択または価格でのみ利用可能です"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","カートアイテム属性"
"Catalog","カタログ"
"Catalog Input Type for Store Owner","管理者用のカタログ入力タイプ"
"Catalog Price Scope","カタログ価格範囲"
"Catalog Section","カタログセクション"
"Catalog, Search","カタログ, 検索"
"Categories","カテゴリ"
"Categories Sitemap","カテゴリのサイトマップ"
"Category","カテゴリ"
"Category API","カテゴリAPI"
"Category Data","カテゴリデータ"
"Category Navigation:","カテゴリナビゲーション:"
"Category Products","カテゴリの商品"
"Category Top Navigation","カテゴリTOPナビゲーション"
"Category URL Suffix","カテゴリURL接尾辞"
"Category attributes API","カテゴリ属性API"
"Category delete error","カテゴリ削除エラー"
"Category deleted","カテゴリを削除しました"
"Category move error","カテゴリ移動エラー"
"Category must be instance of Mage_Catalog_Model_Category","カテゴリはMage_Catalog_Model_Categoryの段階にあるに違いありません。"
"Category saved","カテゴリを保存しました"
"Change","変更"
"Change or Retrieve attribute store view","属性ストアビューを変更または回収"
"Change status","ステータス変更"
"Check items to add to the cart or","アイテムをクリックしてカートに追加または＊"
"Choose an Option...","オプションを選択してください"
"Choose option...","オプションを選択してください"
"Clear All","すべてクリア"
"Clear All Items","上の絞り込みをクリア"
"Close Window","ウインドウを閉じる"
"Collapse All","全て失敗"
"Comparable","比較可能"
"Comparable on Front-end","フロントエンドで比較可能な"
"Compare Items","商品の比較"
"Compare Products","商品の比較"
"Compare Products (%d)","製品を比較"
"Compare Products - %d Items","比較中の商品 - %d個の商品"
"Compare Products List","比較商品リスト"
"Compare list successfully cleared","比較リストは正常にクリアされました"
"Conditions Combination","条件の組み合わせ"
"Configurable Product","設定可能な商品"
"Configurable Product Settings","設定可能な商品設定"
"Continue","続ける"
"Copy From Configurable","設定可能な商品からコピー"
"Country/State","都道府県"
"Create","作成"
"Create (Upload)","作成 (アップロード)"
"Create Empty","空を作成"
