"%s is not supported currency.","%s is not supported currency."
"Accept","Accept"
"Basic","Basic"
"Cannot retreive rate from strikeirion.","Cannot retreive rate from strikeirion."
"Cannot retrieve rate from %s to %s"," %s から %s まで割合が回収できません"
"Check all email servers","メールサーバを確認する"
"Complete","Complete"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"Customer Tax Class","Customer Tax Class"
"Email Verification","メール確認"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","メールアドレスが確認できません。もう一度正しく入力されていることを確認してください。"
"Enable US address verification","有効なUSアドレス確認"
"Enable email verification","有効なメール確認"
"Enable foreign exchange rate","Enable foreign exchange rate"
"Enable global address verification","有効なグローバルアドレス確認"
"Enable sales and use tax","販売と税の使用が可能"
"Error Email Recipient","メールの受信エラー"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Error address action","Error address action"
"Foreign Exchange Rates","Foreign Exchange Rates"
"Global Address Verification","グローバルアドレス確認"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate."
"Invalid email address","Invalid email address"
"Maximum tax rate","Maximum tax rate"
"Minimum tax rate","Minimum tax rate"
"Password","パスワード"
"Pop up warning and accept","警告を表示し承認する"
"Product Tax Class","Product Tax Class"
"Reject","Reject"
"Sales and Use Tax","Sales and Use Tax"
"Sales and Use Tax Type","Sales and Use Tax Type"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Config"
"Strikeiron Section","Strikeiron Section"
"Strikeiron foreign exchange rate is disabled","Strikeiron foreign exchange rate is disabled"
"Tax","Tax"
"There is an error in retrieving tax rate. Please contact us","税率を回収する際にエラーが発生しました。お問合せください。"
"There is an error in verifying an email. Please contact us.","メールアドレスの確認にエラーが発生しました。お問合せください。"
"There is no more hits remaining for the foreign Exchange Rate Service.","外為替レートサービスの"
"There is no response back from Strikeiron server","There is no response back from Strikeiron server"
"US Address Verification","USアドレス確認"
"Undetermined email action","Undetermined email action"
"Use","使用"
"User ID","ユーザーID"
"Verify address in admin","Verify address in admin"
"Verify email in admin","Verify email in admin"
