"ALL","すべて"
"ANY","いずれか"
"Add","追加"
"Apply","反映"
"Description: %s","説明: %s"
"Expire at: %s","有効期限: %s"
"FALSE","誤"
"If %s of these conditions are %s:","もし %s が %s であるなら:"
"Invalid discount amount.","不正な割引き額です。"
"MATCHING ALL","全てにマッチ"
"MATCHING ANY","いずれかにマッチ"
"NOT MATCHING ALL","全てにマッチしない"
"NOT MATCHING ANY","いずれかにマッチしない"
"Name: %s","名前: %s"
"Open Chooser","選択を開く"
"Perform following actions","次のアクションを評価する"
"Please choose a condition to add...","追加する条件を選択してください。"
"Please choose an action to add...","追加するアクションを選択してください。"
"Remove","削除"
"Start at: %s","開始日時: %s"
"TRUE","正"
"by","より"
"contains","含む"
"does not contain","含まない"
"equals or greater than","等しいかそれより大きい"
"equals or less than","等しいかそれより小さい"
"greater than","より大きい"
"is","は"
"is not","はない"
"is not one of","のひとつではない"
"is one of","のひとつ"
"less than","より小さい"
"to","へ"
