"Abandoned carts","カートを破棄する"
"Action","アクション"
"Add to Cart","カートに追加"
"Add to Compare","比較する"
"Add to Wishlist","ほしい物リストに追加"
"Applied Coupon","適用されたクーポン"
"Avg. approved rating","公認評価の平均値"
"Avg. rating","平均値"
"Bestsellers","ベストセラー"
"Bought from wishlists","ほしい物リストから購入済み"
"CSV","CSVファイル"
"Carrier/Method","配送業者/配送方法"
"Carts","カート"
"Coupons","クープン"
"Created at","作成元"
"Customer","顧客"
"Customer Name","顧客名"
"Customer Tags","顧客のタグ"
"Customers","顧客"
"Customers Report","顧客のレポート"
"Customers Reviews","顧客のレビュー"
"Customers Tags","顧客のタグ"
"Customers by number of orders","注文数順に顧客を並べ替え"
"Customers by orders total","注文額合計順に顧客を並べ替え"
"Customers that have wishlist: %s%","ほしい物リストを持つ顧客: %s%"
"Day","日"
"Default Recently Compared Products count","最近比較された製品数の初期値"
"Default Recently Viewed Products count","最近閲覧された製品数の初期値"
"Detail","詳細"
"Discounts","ディスカウント"
"Downloads","ダウンロード"
"Email","メールアドレス"
"Excel","Excel"
"First Name","名"
"Guest","ゲスト"
"Hits","ヒット"
"ID","ID"
"Invalid date specified","不正な日付が指定されました"
"Invoiced","請求額"
"Items Ordered","注文された商品"
"Items in Cart","カーとの中の商品"
"Last Name","姓"
"Last Review","最新のレビュー"
"Link","リンク"
"Low stock","在庫少"
"Month","月"
"Most Viewed","もっとも見られた"
"Most viewed","もっと見られた"
"Name","名前"
"New Accounts","新しいアカウント"
"Number Added","追加された数"
"Number Fulfilled","番号化されたもの"
"Number Of Historical Uses","多く使われているもの"
"Number Of Reviews","レビュー数"
"Number Of Uses","使用数"
"Number Purchased","購入数"
"Number Viewed","閲覧数"
"Number of Items","商品数"
"Number of Ivoiced Orders","請求されたオーダー数"
"Number of New Accounts","新しいアカウント数"
"Number of Orders","注文数"
"Number of Refunded Orders","払戻オーダー数"
"Number of Reviews","レビュー数"
"Number of Total Tags","タグの合計数"
"Number of Unique Tags","ユニークタグ数"
"Number of Views","見られた回数"
"Number of items bought from a wishlist: %s","ほしい物リストから購入された商品数: %s"
"Number of times deleted","削除数"
"Number of times wishlists have been shared (emailed): %s","共有された(emailされた)ほしい物リストの数: %s"
"Number of wishlist conversions: %s","ほしい物リストコンバージョンの数: %s"
"Number of wishlist referrals: %s","参照されたほしい物リストの数: %s"
"Number of wishlists: %s","ほしい物リストの数: %s"
"Offline Refunded","オフライン返金"
"Online Refunded","オンライン返金"
"Orders","受注"
"Out of stock","在庫切れ"
"Poducts Report","商品レポート"
"Popular Tags","ポピュラーなタグ"
"Popularity","人気"
"Price","価格"
"Product Name","商品名"
"Product Reviews","商品レビュー"
"Product Sku","商品Sku"
"Product Tags","商品タグ"
"Products","商品"
"Products Report","商品レポート"
"Products Reviews","商品レビュー"
"Products Sold","Products Sold"
"Products Tags","商品のタグ"
"Products in carts","カート内の商品"
"Purchases","購入品"
"Quantity Ordered","注文された数量"
"Quantity of Items","商品の個数"
"Rate","レート"
"Recently Compared Products","最近比較した商品"
"Recently Viewed Products","最近見た商品"
"Recently Viewed/Compared Products","最近見られた/比較された商品"
"Refunded","返金"
"Reports","レポート"
"Results","結果"
"Revenue","収入"
"Review","レビュー"
"Reviews","レビュー"
"Reviews for %s","%s のレビュー"
"Sales","売上高"
"Sales Report","セールスレポート"
"Search Terms","検索語"
"Shipping","送料"
"Shopping Cart","ショッピングカート"
"Show for Current","最新を表示"
"Stock Qty","在庫量"
"Submitted In","送信元"
"Submitted On","送信先"
"Subtotal","合計"
"Tag","タグ"
"Tag ""%s"" details","タグ ""%s"" 詳細"
"Tag Detail","タグ詳細"
"Tag Name","タグ名"
"Tag use","タグで使用"
"Tags submited by %s","%sによって登録されたタグ"
"Tags submitted to %s","%sに送信されたタグ"
"Tax","税"
"Tax Amount","税額"
"Title","タイトル"
"Total","合計"
"Total Invoiced","請求額合計"
"Total Invoiced Captured","確定請求額合計"
"Total Invoiced not Captured","未確定請求額合計"
"Total Refunded","返金合計"
"Total Shipping","送料合計"
"Total Tags","合計タグ数"
"Total invoiced","請求額合計"
"Total refunded","返金合計"
"Updated at","更新日時"
"Visible In","表示先"
"Wishlist Report","ほしい物リストレポート"
"Wishlist vs. Regular Order","ほしい物リスト vs. 通常の注文"
"Wishlists","ほしい物リスト"
"Year","年"
"Your Recently Compared","最近比較した商品"
"Your Recently Viewed","最近みた商品"
