"%s and greater","%s とそれ以上"
"Advanced Search","詳細な検索"
"All","全て"
"Applies for ""Like"" Search type only","を申し込む ""Like"" 検索タイプのみ"
"Apply Layered Navigation if search results are less than","検索結果が＊より少ない場合はLayered Navigationを申し込む"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. 実行してください。<a href=""%s"">再構築検索インデックス</a> 過程"
"Autogenerated site map","自動サイトマップ作成"
"Catalog Advanced Search","詳細な検索"
"Catalog Search","カタログ検索"
"Don't see what you're looking for?","探しているものを見ないでください"
"Go","次へ"
"Go to Home Page","ホームページへ"
"Grid","表"
"Home","ホーム"
"List","一覧"
"Maximum Query Length","最大クエリ範囲"
"Maximum Query Words Count","最大クエリ文字数カウント"
"Maximum Search query  length is %s. Your query was cut.","最大検索クエリ範囲は %sです。あなたのクエリはカットされました。"
"Minimal Query Length","最少クエリ範囲"
"Modify your search","検索を修正"
"No","いいえ"
"No items were found using the following search criteria.","No items were found 次の検索基準を満たしているアイテムは見つかりませんでした。"
"Please enter ""0"" to enable layered navigation for any number of results"," どんな数にも対応したlayerd自由検索を可能にするために""0""を入力してください。*"
"Popular Search Terms","人気の検索語句"
"Popular search terms","人気の検索語句"
"Relevance","検索能力"
"Required Fields","必須項目"
"Results","結果"
"Search","検索"
"Search Settings","検索条件"
"Search Site","検索サイト"
"Search Terms","検索条件"
"Search Type","検索タイプ"
"Search entire store here...","ストア全体から検索...."
"Search results for '%s'","'%s'の検索結果"
"Search results for: '%s'","'%s'の検索結果"
"Subscribe to Feed","Subscribe to Feed*"
"There are no search terms available.","利用できる検索キーワードがありません"
"Yes","はい"
"You have to specify at least one search term","1つ以上の検索語を指定してください"
"Your search returns no results.","検索結果はありません。"
"up to %s","最大で %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
