"%d Review(s)","%d件のレビュー"
"%s Review(s)","%sのレビュー"
"(Posted on %s)","(投稿者 %s)"
"1 star","1つ星"
"2 stars","2つ星"
"3 stars","3つ星"
"4 stars","4つ星"
"5 stars","5つ星"
"Add New Review","新規レビューの追加"
"Add Your Review","レビューを追加"""
"Administrator","管理者"
"All Reviews","すべてのレビュー"
"All reviews of customer `%s`","顧客を全表示 `%s`"
"Allow guests to write reviews","レビューを書くことを許可する"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Are you sure?","本当によろしいですか？"
"Average Customer Rating","平均評価"
"Average Customer Rating:","平均評価:"
"Back","戻る"
"Back to Main Product Info","商品メイン情報に戻る"
"Back to My Reviews","レビューに戻る"
"Back to Product Reviews","商品レビューに戻る"
"Be the first to review this product","この商品の最初のレビューを書きませんか？"
"Created On","作成者"
"Customer","顧客"
"Customer Reviews","カスタマーレビュー"
"Delete","削除"
"Delete Review","レビュー削除"
"Detailed Rating","評価の詳細"
"Edit Review '%s'","'%s'のレビューを編集"
"Guest","ゲスト様"
"How do you rate this product?","この商品をどうやって格付けしますか？"
"ID","ID"
"Manage Ratings","評価"
"My Product Reviews","商品レビュー"
"My Recent Reviews","最近のレビュー"
"Name","名前"
"Name In Store","店舗内の名前"
"New Review","新しいレビュー"
"Nickname","ニックネーム"
"Pending Reviews","認証待ちのレビュー"
"Pending reviews","未決定のレビュー"
"Pending reviews of customer `%s`","未決定の顧客レビュー `%s`"
"Please select a product","商品を選択してください"
"Please select one of each of the ratings above","格付けをどれか選択してください"
"Posted By","投稿者"
"Price","価格"
"Product","商品"
"Product Name","商品名"
"Product Rating","商品格付け"
"Product Rating:","商品格付け:"
"Product Review (submitted on %s):","商品レビュー (送信者 %s):"
"Product Reviews","商品レビュー"
"Product SKU","商品SKU"
"Qty","個数"
"Rating:","格付け:"
"Review","レビュー"
"Review Details","レビュー詳細"
"Review by %s","レビュー者 %s"
"Reviews and Ratings","レビューと評価"
"SKU","単位"
"Save Review","レビューの保存"
"Status","ステータス"
"Submit Review","レビュー送信"
"Summary Rating","格付け送信"
"Summary of Review","レビューのサマリ"
"Summary of Your Review","レビューのサマリ"
"Summary of review","レビューのサマリ"
"Title","タイトル"
"Type","タイプ"
"Unable to post review. Please, try again later.","レビューを投稿できませんでした。やり直してください。"
"Update status","ステータス更新"
"View All Reviews","全てのレビューを表示"
"View Details","詳細を表示"
"Visible In","表示先"
"Websites","ウェブサイト"
"Write Your Own Review","あなたのレビューを投稿する"
"You have submitted no reviews.","まだレビューを書いていません。"
"You're reviewing: %s","「%s」 をレビューしています。"
"Your Rating:","格付け:"
"Your Review (submitted on %s):","レビュー (送信日 %s):"
"Your review has been accepted for moderation","レビューを受け付けました"
"OR","OR"
"My Product Reviews","My Product Reviews"
