"1 star","1スター"
"2 stars","2つ星"
"3 stars","3つ星"
"4 stars","4つ星"
"5 stars","5つ星"
"Add New Rating","新規ランクの追加"
"Assigned Options","割り当てられたオプション"
"Be the first to review this product","この商品の最初のレビューを書く"
"Default Value","ディフォルト値"
"Delete Rating","評価の削除"
"Edit Rating","評価の編集"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","店の評価を設定しない場合、デフォルト値が適用されます。"
"Manage Ratings","レート管理"
"New Rating","新しい評価"
"Option Label","オプションのラベル"
"Option Title","オプションのタイトル"
"Option Title:","オプションのタイトル:"
"Please select one of each ratings above","格付けを選択してください。"
"Rating Information","格付け情報"
"Rating Name","格付け名"
"Rating Options","格付けオプション"
"Rating Title","格付けタイトル"
"Rating Visibility","格付けの表示"
"Rating isn't Available","評価することはできません"
"Rating with the same title","同じタイトルの格付け"
"Save Rating","格付けの保存"
"Visible In","閲覧可能な"
