"Actions","操作"
"Active","アクティブ"
"Add New Rule","新規ルールの追加"
"Apply Rules","ルールの反映"
"Attribute Set","属性"
"Catalog","カタログ"
"Catalog Price Rule","カタログ価格ルール"
"Catalog Price Rules","カタログ価格ルール"
"Category","カテゴリ"
"Comments History","コメント履歴"
"Conditions","条件"
"Conditions (leave blank for all products)","状態(すべての商品では空白に)"
"Conditions Combination","条件の組み合わせ"
"Credit Memos","クレジットメモ"
"Customer Groups","顧客グループ"
"Customer is new buyer: %s","新規顧客: %s"
"Customer registered: %s","顧客登録: %s"
"Date Expire","終了日"
"Date From","データフォーム"
"Date Start","開始日"
"Date To","終了日"
"Delete Rule","ルールの削除"
"Description","概要"
"Description: %s","概要: %s"
"Edit Rule","ルールの編集"
"Edit Rule '%s'","ルール編集 '%s'"
"Expire at: %s","終了日: %s"
"From Date","開始日"
"General Information","全般情報"
"Gift Messages","ギフトメッセージ"
"ID","ID"
"Inactive","非アクティブ"
"Invoices","請求書"
"NOT LOGGED IN","未ログイン"
"Name: %s","名前: %s"
"New Rule","新しいルール"
"No","いいえ"
"Options","オプション"
"Order Credit Memos","注文クレジットメモ"
"Order Gift Messages","ギフトメッセージを注文"
"Order History","受注履歴"
"Order Invoices","請求書"
"Order Shipments","注文の出荷情報"
"Priority","優先度"
"Product Attribute","商品属性"
"Promotions","プロモーション"
"Rule Information","ルール情報"
"Rule Name","ルール名"
"Rule was successfully deleted","ルールを削除しました"
"Rule was successfully saved","ルールを保存しました"
"Rules were successfully applied","ルールを適用しました"
"Save Rule","ルールの保存"
"Save and Apply","保存と適用"
"Shipments","出荷情報"
"Start at: %s","開始日: %s"
"Status","状態"
"Stop further rules processing","他のルールの適用をしない"
"The page you are trying to save no longer exists","保存対象のルールがありません。"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","ルールは変更されましたがまだ適用されていません。ルールをカタログにすぐに適用するには「ルールを適用」をクリックしてください。"
"This rule no longer exists","ルールはありません。"
"To Date","公開日"
"Unable to apply rules","ルールを適用できません"
"Unable to find a page to delete","削除対象のページが見つかりません。"
"Update product's %s %s: %s","商品更新 %s %s: %s"
"Websites","WEBサイト"
"Yes","はい"
