"-- Please Select --","-- 選択してください --"
"Account Registration","アカウント登録"
"All fields of script types have to be filled.","全てのフィールドはスクリプトタイプで埋めなければなりません。"
"Attributes","属性"
"Category View Optimization","カテゴリ表示の最適化"
"Control Script","制御用スクリプト"
"Conversion Page","変更ページ"
"Conversion Page URL","変更ページのＵＲＬ"
"Conversion Script","変換用スクリプト"
"Enable","有効"
"Google Optimizer Scripts","Google最適化スクリプト"
"Google Website Optimizer","Google ウェブサイトの最適化"
"Install Scripts","インストール用スクリプト"
"Limit is 8 attributes only.","制限は８属性だけです。"
"Multi Address Checkout","チェックアウトした複数アドレス"
"One Page Checkout","チェックアウトページ"
"Order Success (Multi Address Checkout)","注文成功 (チェックアウトした複数アドレス)"
"Order Success (One Page Checkout)","注文成功 (チェックアウトしたページ)"
"Original Page","オリジナルページ"
"Other","その他"
"Page Type","ページタイプ"
"Page View Optimization","ページ表示の最適化"
"Please copy and paste this value to experiment edit form","コピー＆ペーストして値を編集してください"
"Please select store view to see the URL","店舗表示を参照するＵＲＬを選択してください"
"Product View Optimization","製品表示の最適化"
"Scripts Install URL","スクリプト導入ＵＲＬ"
"Shopping Cart","ショッピングカート"
"Tracking Script","追跡用スクリプト"
"Use Default","既定値を使用"
"Use Default Values","使用するデフォルト値"
"Variant Page","編集ページ"
