" Copy","コピー"
"Action","アクション"
"Add New Template","テンプレート新規追加"
"Add to Queue","キューに追加"
"Are you sure that you want to delete this template?","テンプレートを削除してもいいですか？"
"Are you sure that you want to strip all tags?","タグを全て除去してもいいですか？"
"Back","戻る"
"Cancel","キャンセル"
"Cancelled","キャンセル済"
"Cannot delete subscriber","購読者を削除できません"
"Cannot delete template","テンプレートを削除できません"
"Cannot mark as received subscriber","既に購読しているのでマークできません"
"Cannot save your subscription: %s","保存できませんでした: %s"
"Confirmation Email Sender","確認メール送信者"
"Confirmation Email Template","確認メールテンプレート"
"Confirmation request has been sent","確認のリクエストが送信されました"
"Convert to Plain Text","プレーンテキストに変換"
"Create Newsletter Template","新しいメールテンプレートを作成"
"Customer","顧客"
"Customer Firstname","顧客の名前"
"Customer Lastname","顧客の姓名"
"Date Added","登録日"
"Date Updated","更新日"
"Delete Selected Problems","選択した問題を削除する"
"Delete Template","テンプレート削除"
"Do you really want to cancel the queue?","キューをキャンセルしてもいいですか？"
"Duplicate of template code","テンプレートコードの重複"
"Edit Newsletter","メールマガジン編集"
"Edit Newsletter Template","メールマガジンテンプレートの編集"
"Edit Queue","キューの編集"
"Edit Template","テンプレートの編集"
"Email","メールアドレス"
"Enter your email address","Enter your email address"
"Error Code","エラーコード"
"Error Text","エラーテキスト"
"Form was filled incorrectly","フォームの値が不正です"
"Guest","ゲスト様"
"ID","ID"
"Invalid queue selected","不正なキューが選択されました"
"Invalid subscriber ID","不正な購読者IDです"
"Invalid subscription ID","不正な購読IDです"
"Invalid subscription confirmation code","不正な購読確認コードです"
"Message","メッセージ"
"Need to Confirm","確認が必要"
"New Newsletter Template","新規メールマガジンテンプレート"
"New Template","新規テンプレート"
"Newsletter","メールマガジン"
"Newsletter Message Preview","メールマガジンプレビュー"
"Newsletter Problem Reports","メールマガジン問題報告"
"Newsletter Queue","メールマガジンキュー"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","メールマガジン購読者"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","メールマガジン購読"
"Newsletter Templates","メールマガジンテンプレート"
"Newsletter subscription confirmation","ニュースレター購読確認"
"Newsletter subscription success","ニュースレター購読成功"
"Newsletter unsubscription success","ニュースレター解約成功"
"No Templates Found","テンプレートが見つかりませんでした"
"No problems found","問題が見つかりませんでした"
"No subscribers selected","購読者が選択されていません"
"Not Sent","未送信"
"Not activated","無効"
"Pause","ポーズ"
"Paused","ポーズ"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","新しいテンプレート名を入力してください"
"Please select subscriber(s)","購読者を選択してください"
"Preview","プレビュー"
"Preview Template","テンプレートのプレビュー"
"Processed","処理中"
"Queue Date Start","キュー開始日"
"Queue Finish","キュー終了日"
"Queue Information","キュー情報"
"Queue Newsletter","メールマガジンキュー"
"Queue Start","キュー開始"
"Queue Subject","キュー名"
"Recipients","受取人"
"Reset","リセット"
"Resume","レジューム"
"Return Html Version","HTML版に戻す"
"Save And Resume","保存して続ける"
"Save As","名前をつけて保存"
"Save Newsletter","メールマガジンの保存"
"Save Template","テンプレートの保存"
"Selected problem subscribers successfully unsubscribed","問題の購読者を購読解除しました"
"Selected problems successfully deleted","問題を削除しました"
"Sender","送信者"
"Sender Email","送信者アドレス"
"Sender Name","送信者名"
"Sending","送信中"
"Sending Options","Sending Options"
"Sent","送信済"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","メールマガジンを購読する:"
"Start","開始"
"Status","ステータス"
"Store","店舗"
"Store View","店舗ビュー"
"Subject","件名"
"Subscribe","購読"
"Subscribed","購読済"
"Subscriber","購読者"
"Subscribers","購読者"
"Subscribers From","購読者"
"Subscription Options","購読オプション"
"Success Email Sender","成功メール送信者"
"Success Email Template","成功メールテンプレート"
"Template Content","テンプレートコンテンツ"
"Template Information","テンプレート情報"
"Template Name","テンプレート名"
"Template Subject","テンプレート件名"
"Template Type","テンプレートタイプ"
"Thank you for your subscription","ご購読ありがとうございます"
"The subscription was successfully saved","購読を保存しました"
"There was a problem with the subscription","購読処理中に問題が発生しました"
"There was a problem with the subscription: %s","購読に問題があります: %s"
"There was a problem with the un-subscription.","購読解除中に問題がありました。"
"There was an error while saving your subscription","購読を保存中にエラーが発生しました"
"Toggle Editor","エディタを閉じる"
"Type","タイプ"
"Unsubscribe","購読解除"
"Unsubscribe Selected","未購読を選択しました"
"Unsubscribed","購読解除"
"Unsubscription Email Sender","購読解除メール送信者"
"Unsubscription Email Template","購読解除メールテンプレート"
"View Newsletter","メールマガジンを見る"
"Website","ウェブサイト"
"You have been successfully unsubscribed.","正常に購読解除しました"
"Your subscription was successfully confirmed","購読を確認しました"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
