"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">リンク</a>"
"Access denied to destination folder ""%s""","保存先フォルダ""%s""にアクセスできませんでした"
"Could not load file: ""%s""","ファイルをロードできません。: ""%s"""
"Could not save file: %s","ファイルを保存できません: %s"
"Declared adapter %s not found","宣言されたアダプター%sがみつかりません"
"Destination folder ""%s"" does not exist or not access to create","保存先フォルダ""%s""は存在しないか作成するアクセス権がありません"
"Destination folder ""%s"" is not a directory","保存先フォルダ""%s""はディレクトリではありません"
"Destination folder ""%s"" is not a writeable","保存先フォルダ""%s""は書き込み可能ではありません"
"Done","完了"
"Dry run set, stopping execution","リハーサル, 中断"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","フィールドマッピングエラー!マッピングのためのフィールドリストが定義されていません"
"Error occured during file opening: ""%s""","ファイルをオープン中にエラーが発生しました: ""%s"""
"File ""%s"" don't exist","File ""%s"" don't exist"
"Found %d rows","%d行見つかりました"
"Less than a minute","一分以内"
"Loaded successfully: ""%s""","正常にロードしました: ""%s"""
"Memory Used: %s","メモリ使用量: %s"
"Method ""%s"" not defined in adapter %s","メソッド""%s""はアダプター""%s""で定義されていません"
"Please declare ""adapter"" and ""method"" node first","最初に""アダプター""と""メソッド""ノードを定義してください"
"Processed records: %s","処理済みレコード: %s"
"Saved successfully: ""%s"" [%d byte(s)]","正常に保存されました: ""%s""[%d バイト]"
"Sheet 1","シート1"
"Skip undefined row","未定義の行をスキップ"
"Starting %s :: %s","開始 %s :: %s"
"Total records: %s","合計レコード: %s"
"hour","時間"
"hours","時間"
"minute","分"
"minutes","分"
