"(eg: domain.com/identifier)","(例: domain.com/identifier)"
"Action","アクション"
"Add New Block","新規ブロック追加"
"Add New Page","新規ページ追加"
"All countries","全ての国"
"Block Information","ブロック情報"
"Block Title","ブロックタイトル"
"Block was successfully deleted","ブロックを削除しました"
"Block was successfully saved","ブロックを保存しました"
"CMS","コンテンツ管理"
"CMS Home Page","CMSのホームページ"
"CMS No Route Page","CMSのエラーページ"
"Content","内容"
"Custom Design","カスタムデザイン"
"Custom Theme","カスタムテーマ"
"Custom Theme From","次からカスタムテーマ"
"Custom Theme To","次へカスタムテーマ"
"Customer Tax Class Information","顧客課税区分情報"
"Date Created","作成日付"
"Delete Block","ブロックの削除"
"Delete Page","ページの削除"
"Description","概要"
"Disabled","無効"
"Edit Block","ブロックを編集"
"Edit Block '%s'","'%s'ブロックを編集"
"Edit Page","ページ編集"
"Edit Page '%s'","'%s'ページを編集"
"Enabled","有効"
"General Information","総合情報"
"Go to Home Page","ホームページへ移動"
"Home","ホーム"
"Identifier","識別子"
"Keywords","キーワード"
"Last Modified","最終更新日"
"Layout","レイアウト"
"Layout Update XML","XMLのレイアウトを更新する"
"Manage Pages","ページ管理"
"Meta Data","メタデータ"
"Meta Description","メタ概要"
"Meta Keywords","メタキーワード"
"New Block","新規ブロック"
"New Page","新規ページ"
"Page Identifier cannot consist only of numbers.","ページ識別子は数値のみで定義できません。"
"Page Identifier for specified store already exist.","指定した店舗にページ識別子がすでに存在しています。"
"Page Information","ページ情報"
"Page Status","ページステータス"
"Page Title","ページタイトル"
"Page was successfully deleted","ページを削除しました"
"Page was successfully saved","ページを保存しました"
"Poll Manager","投票管理"
"Product Tax Class Information","商品税区分情報"
"SEF URL Identifier","SEF URL 識別子"
"Save Block","保存"
"Save Page","保存"
"Show breadcrumbs for CMS pages","CMSページのパンくずを表示する"
"Static Blocks","静的ブロック"
"Status","ステータス"
"Store View","店舗ビュー"
"Such a block identifier in selected store already exist.","ブロック識別子が選択した店舗に存在しています。"
"The page you are trying to save no longer exists","保存対象のページが存在していません。"
"This block no longer exists","ブロックが存在しません。"
"This page no longer exists","ページが存在しません。"
"Title","タイトル"
"Unable to find a block to delete","削除対象のブロックが存在しません。"
"Unable to find a page to delete","削除対象のページが存在しません。"
