"--Select--","--選択--"
"Add New Option","オプションの追加"
"Add Selection","選択候補の追加"
"As low as","以下"
"Bundle Items","セット商品"
"Bundle Product","セット商品"
"Buy %1$s with %2$s discount each","%1$s 個お買い上げいただくと1個につき %2$s お得"
"Checkbox","チェックボックス"
"Choose a selection...","選択してください..."
"Close","閉じる"
"Default","標準"
"Default Qty","標準個数"
"Default Title","標準タイトル"
"Drop-down","ドロップダウン"
"Dynamic","可変"
"Excl. Tax","税抜き"
"Fixed","定額"
"From","From"
"From:","From:"
"Gift Message","ギフトメッセージ"
"Incl. Tax","税込"
"Input Type","入力形式"
"Is Required","必須"
"Message:","メッセージ:"
"Multiple Select","複数選択"
"N/A","N/A"
"No options of this product are available.","この商品で利用可能なオプションはありません。"
"None","なし"
"Percent","割合"
"Percent Discount","割引率"
"Please enter search conditions to view products.","商品を表示させるための検索条件を指定してください。"
"Please select options for product.","商品のオプションを選択してください。"
"Please select products to add","追加する商品を選択してください"
"Please specify product option(s)","プロダクトオプションを明記してください。"
"Position","位置"
"Price Range","価格範囲"
"Price Type","価格種別"
"Price as configured","環境設定価格"
"Qty:","個数:"
"Radio Buttons","ラジオボタン"
"Required options not selected.","必須項目が選択されていません。"
"Selected required options not available.","選択されたオプションは利用できません。"
"Separately","別々"
"Ship Bundle Items","セット商品の配送方法"
"Shipment","配送方法"
"Store View Title","店舗名"
"There is no defined renderer for ""%s"" option type","""%s"" のオプションに表示方法が定義されていません"
"This product is also part of bundle(s)","この商品もセットの一部です"
"To","To"
"To:","To:"
"Together","まとめて"
"User Defined Qty","ユーザー定義個数"
