"Account login","アカウントログイン"
"Account password","アカウントパスワード"
"Active","アクティブ"
"Add Attribute Mapping","マッピング属性追加」"
"Add New Attribute","新しい属性の追加"
"Add to Google Base","Google Baseの追加"
"Are you sure?","よろしいですか？"
"Attribute","属性"
"Attribute Set","属性設定"
"Attribute Set and Item Type","属性設定とアイテムタイプ"
"Attributes","属性"
"Attributes Set","属性設定"
"Attributes mapping","マッピング属性"
"AuthSub","AuthSub"
"Available Products","製品利用"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","画像承認エラー: %s"
"Captcha confirmed successfully","画像承認成功"
"Clicks","押下"
"ClientLogin","クライアントログイン"
"Confirm","承認"
"Current Mapping will be reloaded. Continue?","今のマッピングは再読込されます。 続けますか？"
"Custom attribute, no mapping","カスタム属性、マッピングできない"
"Default Store (%s)","初期店舗 (%s)"
"Delete","削除"
"Delete Mapping","マッピングの削除"
"Edit Item Type","アイテムタイプの編集"
"Edit Item Type ""%s""","編集アイテムタイプ ""%s"""
"Error: %s","エラー: %s"
"Euro","Euro"
"Expires","期限切れ"
"Germany","ドイツ"
"Google Base","Google Base"
"Google Base Attribute","Google Base属性"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base アイテムタイプ"
"Google Base Item type","Google Base アイテムタイプ"
"Google Base Items","Google Base アイテム"
"Hide","非表示"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Google Base アイテムの無効な製品"
"Item Type was deleted","アイテム型は削除されました"
"Item Types","アイテムタイプ"
"Item model is not specified to delete Google Base entry","Google Base entryからアイテムの削除指定はできません"
"Item type was successfully saved","アイテムタイプは保存されました"
"Items","アイテム"
"Manage Attribute Mapping","マッピング属性の管理"
"Manage Attributes","管理属性"
"Manage Items","アイテム管理"
"New Item Type","新しいアイテムタイプ"
"No","いいえ"
"No items were deleted from Google Base","Google Baseからアイテムを削除できませんでした"
"No items were published","アイテムは表示できません"
"No items were saved as Inactive items","静的アイテムとして保存できませんでした"
"No products were added to Google Base","Google Baseに製品を追加できませんでした"
"Object model is not specified to save Google Base entry","オブジェクトモデルはGoogle Base entryに保存指定できません"
"Page views","ページ表示"
"Please, select Attribute Set and Google Item Type to load attributes","選択した属性セットとGoogleアイテムタイプをロード属性にしてください"
"Product Name","製品名"
"Publish","掲載"
"Published","表示された"
"Remove","移動"
"Save Mapping","マッピングの保存"
"Synchronize","同期"
"Target Country","対象国"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","この処理はGoogle Baseで使用しないアイテムを移動させアイテム数を更新します。続けますか？"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","合計 %d アイテムは削除に成功しました、 合計 %d アイテムは更新に成功しました"
"Total of %d items(s) were successfully published","合計 %d アイテムの掲載が成功しました。"
"Total of %d items(s) were successfully removed from Google Base","合計 %d アイテムはGoogle Baseからの操作が"
"Total of %d items(s) were successfully saved as Inactive items","合計 %d アイテムは静的アイテムとして保存に成功しました。"
"Total of %d product(s) were successfully added to Google Base","合計 %d 製品はGoogle Baseに追加されました。"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Google Baseに接続できません。アカウントの設定構成を確認してください。"
"United Kingdom","イギリス"
"United States","アメリカ"
"Update Google Base item when product is updated","製品更新時はGoogle Baseアイテムも更新してください"
"View Available Products","表示有効な製品"
"View Item in Google Base","Google Baseの表示アイテム"
"Yes","はい"
