" Copy"," Kopier"
"Action","Handling"
"Add New Template","Legg til ny mal"
"Add to Queue","Legg i kø"
"Are you sure that you want to delete this template?","Er du sikker på at du vil slette denne malen?"
"Are you sure that you want to strip all tags?","Er du sikker på at du vil fjerne alle tagger?"
"Back","Tilbake"
"Cancel","Avbryt"
"Cancelled","Avbrutt"
"Cannot delete subscriber","Kunne ikke slette abonnent"
"Cannot delete template","Kunne ikke slette mal"
"Cannot mark as received subscriber","Kunne ikke markere som mottatt abonnent"
"Cannot save your subscription: %s","Kunne ikke lagre abonnementet: %s"
"Confirmation Email Sender","Avsender av bekreftelses-epost"
"Confirmation Email Template","Mal for bekreftelses-epost"
"Confirmation request has been sent","Bekreftelsesforespørsel ble sendt"
"Convert to Plain Text","Konverter til ren tekst"
"Create Newsletter Template","Lag nyhetsbrevmal"
"Customer","Kunde"
"Customer Firstname","Kundens fornavn"
"Customer Lastname","Kundens etternavn"
"Date Added","Dato lagt til"
"Date Updated","Dato oppdatert"
"Delete Selected Problems","Slett valgte problemer"
"Delete Template","Slett mal"
"Do you really want to cancel the queue?","Er du sikker på at køen skal avbrytes?"
"Duplicate of template code","Duplisert malkode"
"Edit Newsletter","Rediger nyhetsbrev"
"Edit Newsletter Template","Rediger nyhetsbrevmal"
"Edit Queue","Rediger kø"
"Edit Template","Endre mal"
"Email","E-post"
"Enter your email address","Skriv inn din e-post addresse"
"Error Code","Feilkode"
"Error Text","Feilbeskrivelse"
"Form was filled incorrectly","Skjema er ikke korrekt utfyllt"
"Guest","Gjest"
"ID","ID:"
"Invalid queue selected","Ugyldig kø valgt"
"Invalid subscriber ID","Ugyldig abonnent-ID"
"Invalid subscription ID","Ugyldig abonnement-ID"
"Invalid subscription confirmation code","Ugyldig abonnementbekreftelseskode"
"Message","Melding"
"Need to Confirm","Må bekreftes"
"New Newsletter Template","Ny nyhetsbrevmal"
"New Template","Ny mal"
"Newsletter","Nyhetsbrev"
"Newsletter Message Preview","Forhåndsvisning av nyhetsbrev"
"Newsletter Problem Reports","Problemrapporter"
"Newsletter Queue","Nyhetsbrevkø"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Nyhetsbrev påmelding"
"Newsletter Subscribers","Nyhetsbrevabonnenter"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Nyhetsbrevabonnement"
"Newsletter Templates","Nyhetsbrevmaler"
"Newsletter subscription confirmation","Bekreftelse på nyhetsbrevabonnement"
"Newsletter subscription success","Påmelding til nyhetsbrev vellykket"
"Newsletter unsubscription success","Stopping av nyhetsbrevabonnement vellykket"
"No Templates Found","Ingen maler funnet"
"No problems found","Ingen problemer funnet"
"No subscribers selected","Ingen abonnenter valgt"
"Not Sent","Ikke sendt"
"Not activated","Ikke aktivert"
"Pause","Venter"
"Paused","Pauset"
"Please enter a valid email address","Skriv en gyldig epost-adresse"
"Please enter new template name","Skriv inn nytt malnavn"
"Please select subscriber(s)","Velg abonnent(er)"
"Preview","Forhåndsvisning"
"Preview Template","Forhåndsvisning av mal"
"Processed","Prosessert"
"Queue Date Start","Køens startdato"
"Queue Finish","Køslutt"
"Queue Information","Informasjon om kø"
"Queue Newsletter","Legg nyhetsbrev i kø"
"Queue Start","Køstart"
"Queue Subject","Køemne"
"Recipients","Mottakere"
"Reset","Tilbakestill"
"Resume","Fortsett"
"Return Html Version","Returner HTML-versjon"
"Save And Resume","Lagre og fortsett"
"Save As","Lagre som"
"Save Newsletter","Lagre nyhetsbrev"
"Save Template","Lagre mal"
"Selected problem subscribers successfully unsubscribed","Valgte abonnenter meldt av nyhetsbrev"
"Selected problems successfully deleted","Valgte problemer ble slettet"
"Sender","Avsender"
"Sender Email","Avsenders e-post"
"Sender Name","Navn på avsender"
"Sending","Sender"
"Sending Options","Sendingsvalg"
"Sent","Sendt"
"Set Return-Path","Sett retursti"
"Sign me up","Meld meg inn"
"Sign up for our newsletter:","Abonner på vårt nyhetsbrev:"
"Start","Start:"
"Status","Status:"
"Store","Butikk"
"Store View","Butikkvisning"
"Subject","Emne"
"Subscribe","Abonnere"
"Subscribed","Påmeldt"
"Subscriber","Abonnent"
"Subscribers","Abonnenter"
"Subscribers From","Abonnenter fra"
"Subscription Options","Abonnementsalternativer"
"Success Email Sender","Avsender av suksess-epost"
"Success Email Template","Mal for suksess-epost"
"Template Content","Malinnhold"
"Template Information","Informasjon om mal"
"Template Name","Malnavn"
"Template Subject","Malemne"
"Template Type","Maltype"
"Thank you for your subscription","Takk for at du meldte deg på vårt nyhetsbrev"
"The subscription was successfully saved","Abonnementet ble lagret"
"There was a problem with the subscription","Det oppstod et problem med abonnementet"
"There was a problem with the subscription: %s","Det oppstod et problem med abonnementet: %s"
"There was a problem with the un-subscription.","Det oppstod et problem ved avmelding av abonnement."
"There was an error while saving your subscription","Det oppstod en feil ved lagring av abonnementet"
"Toggle Editor","Slå av/på redigering"
"Type","Type:"
"Unsubscribe","Avmeld"
"Unsubscribe Selected","Stopp abonnement for valgte"
"Unsubscribed","Påmeld"
"Unsubscription Email Sender","Avsender av e-post ved stopping av abonnement"
