"# of Use","antall ganger brukt"
"%1$s incl tax.","%1$s inkl mva."
"%s - %s","%s -- %s"
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"(Will make search for the query above return results for this search.)","(Vil returnere treff fra spørringen over for dette søket.)"
"* Required Fields","* Påkrevde felt"
"-- Please Select --","-- Vennligst velg --"
"A name is required","Navn er påkrevd"
"ALL GROUPS","ALLE GRUPPER"
"AM","AM"
"Action","Handling"
"Add Attribute","Legg til attributt"
"Add Design Change","Legg til designendring"
"Add Group","Legg til gruppe"
"Add Items to Cart","Legg varer i handlekurven"
"Add New","Legg til ny"
"Add New Attribute","Legg til nytt attributt"
"Add New Attribute Set","Legg til nytt attributtsett"
"Add New Group","Legg til ny gruppe"
"Add New Images","Legg til nye bilder"
"Add New Option","Legg til nytt valg"
"Add New Row","Legg til"
"Add New Search Term","Legg til ny søkefrase"
"Add New Set","Legg til nytt sett"
"Add Option","Legg til valg"
"Add Product","Legg til produkt"
"Add Product To Websites","Legg til produkt i nettsted"
"Add Root Category","Opprett Toppnivå-kategori"
"Add Subcategory","Opprett underkategori"
"Add Tax","Opprett momsklasse"
"Add Tier","Legg til prisnivå"
"Add to Cart","Legg i handlekurven"
"Add to Compare","Legg til sammenligning"
"Add to My Wishlist","Legg i Min ønskeliste"
"Add to Wishlist","Legg i ønskelisten"
"Additional Information","Tilleggsinformasjon"
"All","Alle"
"All Product Types","Alle produkttyper"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted!! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Tillat HTML-tagger i Front-end"
"Allowed File Extensions","Tillatt filtyper"
"Allowed file extensions to upload","Tillatte filtyper"
"Amount","Antall"
"Apply To","Bruk på"
"Apply To Configurable/Grouped Product","Bruk på konfigurerbart/gruppert produkt"
"Approved","Godkjent"
"Are you sure you want to delete this category?","Er du sikker på at du vil slette denne kategorien?"
"Are you sure you would like to remove all products from your comparison?","Er du sikker på at du ønsker å fjerne alle produktene i sammenligningslisten?"
