"Actions","Handlinger"
"Active","Aktivert"
"Add New Rule","Legg til ny regel"
"Apply Rules","Bruk regler"
"Attribute Set","Attributtsett"
"Catalog","Katalog"
"Catalog Price Rule","Prisregel for varekatalog"
"Catalog Price Rules","Prisregler for varekatalog"
"Category","Kategori"
"Comments History","Kommentarhistorikk"
"Conditions","Betingelser"
"Conditions (leave blank for all products)","Vilkår (blank for alle produkter)"
"Conditions Combination","Kombinasjon av betingelser"
"Credit Memos","Kreditnotaer"
"Customer Groups","Kundegrupper"
"Customer is new buyer: %s","Kunden er en ny kjøper: %s"
"Customer registered: %s","Kunde registrert: %s"
"Date Expire","Utløpsdato"
"Date From","Fra-dato"
"Date Start","Startdato"
"Date To","Til-dato"
"Delete Rule","Slett regel"
"Description","Beskrivelse"
"Description: %s","Beskrivelse: %s"
"Edit Rule","Endre regel"
"Edit Rule '%s'","Endre regel '%s'"
"Expire at: %s","Utløper: %s"
"From Date","Fra dato"
"General Information","Generell informasjon"
"Gift Messages","Gavemeldinger"
"ID","ID:"
"Inactive","Inaktiv"
"Invoices","Fakturaer"
"NOT LOGGED IN","IKKE LOGGET INN"
"Name: %s","Navn: %s"
"New Rule","Ny regel"
"No","Nei"
"Options","Alternativer"
"Order Credit Memos","Kreditnotaer for bestilling"
"Order Gift Messages","Gavemeldinger for bestilling"
"Order History","Ordrehistorikk"
"Order Invoices","Ordrefakturaer"
"Order Shipments","Ordreforsendelser"
"Priority","Prioritet"
"Product Attribute","Produktattributt"
"Promotions","Kampanjer og tilbud"
"Rule Information","Informasjon om regel"
"Rule Name","Regelnavn"
"Rule was successfully deleted","Regelen ble slettet"
"Rule was successfully saved","Regelen ble lagret"
"Rules were successfully applied","Reglene har nå trådt i kraft."
"Save Rule","Lagre regel"
"Save and Apply","Lagre og bruk"
"Shipments","Forsendelser"
"Start at: %s","Start den: %s"
"Status","Status:"
"Stop further rules processing","Stopp videre regelprosessering"
"The page you are trying to save no longer exists","Siden eksisterer ikke lenger"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog"
"This rule no longer exists","Regelen eksisterer ikke"
"To Date","Til dato"
"Unable to apply rules","Kunne ikke bruke reglene"
"Unable to find a page to delete","Kunne ikke finne en side å slette"
"Update product's %s %s: %s","Oppdater produktets %s %s: %s"
"Websites","Nettsteder"
"Yes","Ja"
