"%s was successfully added to your shopping cart.","%s ble lagt til din handlekurv."
"&laquo; Back to Billing Information","&laquo; Tilbake til fakturainformasjon"
"&laquo; Back to Select Addresses","&laquo; Tilbake til valg av adresser"
"&laquo; Back to Shopping Cart","&laquo; Tilbake til handlekurv"
"* Required Fields","* Obligatoriske felt"
"Add New Address","Legg til ny adresse"
"Add New Condition","Opprett ny"
"Add to Cart","Legg i handlekurven"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Address","Adresse"
"Address %s of %s","Adresse %s av %s"
"After adding a product redirect to shopping cart","Videresend kunde til handlekurv etter å ha lagt til et produkt"
"Allow Guest Checkout","Tillat å gå til kassen som gjest"
"Already registered?","Allerede registrert?"
"An error occurred in the process of payment","En feil oppstod i forbindelse med betalingen"
"Apply Coupon","Bruk rabattkode"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på at du vil fjerne denne varen fra handlekurven?"
"Back","Tilbake"
"Back to Shipping Information","Tilbake til leveringsinformasjon"
"Based on your selection, you may be interested in the following items:","Basert på dine valg er du kanskje også interessert i følgende produkter:"
"Billing Address","Fakturaadresse"
"Billing Information","Fakturainformasjon"
"Billing Information - %s","Fakturainformasjon - %s"
"Can not add item to shopping cart","Kunne ikke legge varen i handlekurven"
"Can not apply coupon code.","Kan ikke legge til rabattkode."
"Can't open overview page","Kan ikke vise oversiktside"
"Cancel Coupon","Fjern rabattkode"
"Cannot remove item","Kunne ikke fjerne varen"
"Cannot update shopping cart","Kunne ikke oppdatere handlekurven"
"Card Verification Number Visual Reference","Kortverifiseringsnummer"
"Cart Subtotal:","Subtotal:"
"Change","Endre"
"Change Billing Address","Endre fakturaadresse"
"Checkbox text","Checkbox tekst"
"Checkout","Gå til kassen"
"Checkout Conditions","Vilkår"
"Checkout Options","Alternativer for betaling"
"Checkout Section","Kassen"
"Checkout Terms and Conditions","Vilkår og betingelser"
"Checkout as Guest","Gå til kassen som gjest"
"Checkout as a Guest or Register","Gå til kassen som gjest eller registrer deg"
"Checkout method","Gå til kassen"
"Checkout with Multiple Addresses","Levering til flere adresser"
"City","By"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klikk <a href=""%s"" onclick=""this.target='_blank'"">her for å skrive ut</a> en kopi av din ordrebekreftelse."
"Close","Lukk"
"Company","Firma"
"Condition Name","Navn for vilkår"
"Condition was successfully deleted","Vilkår ble fjernet"
"Condition was successfully saved","Vilkår ble lagret"
"Configurable product image","Bilde for konfigurerbart produkt"
"Confirm Password","Bekreft passord"
"Content","Innhold"
"Content Height","Høyde"
"Content Height (css)","Høyde (css)"
"Continue","Fortsett"
"Continue Shopping","Fortsett å handle"
"Continue to Billing Information","Gå til betalingsinformasjon"
"Continue to Review Your Order","Gå til ordresammendrag"
"Continue to Shipping Information","Gå til leveringsinformasjon"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabattkode ""%s"" er ikke gyldig."
"Coupon code ""%s"" was applied successfully.","Rabattkode ""%s"" er nå registrert."
"Coupon code was canceled successfully.","Rabattkode fjernet."
"Create Billing Address","Opprett fakturaadresse"
"Create Shipping Address","Opprett leveringsadresse"
"Customer Address is not valid.","Ugyldig kundeadresse."
"Data saving problem","Problem med datalagring"
"Default Billing","Standard faktura"
"Default Shipping","Standard levering"
"Delete Condition","Slett vilkår"
"Details","Detaljer"
"Disable Onepage Checkout","Deaktiver Onepage checkout"
"Disabled","Deaktivert"
"Discount Codes","Rabattkoder"
"Display Cart Summary","Vis sammendrag av handlekurv"
"Display Shopping Cart Sidebar","Vis sidebar for handlekurv"
"Display item quantities","Vis vareantall"
"Display number of items in cart","Vis antall varer i handlekurv"
"Easy access to your order history and status","Enkel tilgang til ordrehistorikk og bestillingsstatus"
"Edit","Endre"
"Edit Address","Rediger adresse"
"Edit Billing Address","Rediger fakturaadresse"
"Edit Items","Endre varer"
"Edit Shipping Address","Rediger leveringsadresse"
"Edit Terms and Conditions","Rediger vilkår og betingelser"
"Edit Your Cart","Gjør endringer i handlekurven"
"Email Address","Epost-adresse"
"Enable Terms and�Conditions","Aktiver vilkår og betingelser"
"Enabled","Aktivert"
"Enter a New Address","Skriv inn en ny adresse"
"Enter your coupon code if you have one.","Har du en rabattkode kan du skrive den inn her"
"Enter your destination to get a shipping estimate.","Fyll inn bestemmelsessted for å få et fraktestimat."
"Error while deleting this condition. Please try again later.","Feil. Prøv igjen senere."
"Error while saving this condition. Please try again later.","Feil. Prøv igjen senere."
"Estimate Shipping and Tax","Beregn fraktkostnad"
"Excl. Tax","Eks mva"
"Fast and easy check out","Rask og enkel betaling"
"Fax","Faks"
"Forgot an Item?","Glemt en vare?"
"Forgot your password?","Glemt ditt passord?"
"Get a Quote","Estimer kostnad"
"Grand Total:","Sluttsum:"
"Grouped product image","Bilde for gruppert produkt"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Inkl mva"
"Invalid data","Ugyldige data"
"Invalid email address ""%s""","Ugyldig epost-adresse ""%s"""
"Invalid shipping method.","Ugyldig leveringsmetode."
"Items","Varer"
"Load customer quote error","Feil under henting av tilbud"
"Loading next step...","Laster neste steg..."
"Login","Logg inn"
"Manage Checkout Terms and Conditions","Behandle vilkår og betingelser ved utsjekk"
"Maximum display Recently added item(s)","Vis maksimalt antall nylig lagt til"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimalt antall tillatt for levering til flere adresser er %s"
"Move to Wishlist","Flytt til ønskelisten"
"My Account","Min konto"
"My Cart","Din handlekurv"
"My Cart (%s item)","Handlekurv (%s vare)"
"My Cart (%s items)","Handlekurv (%s varer)"
"My Cart Link","Link til min handlekurv"
"New Address","Ny adresse"
"New Condition","Nytt vilkår"
"Order #","Ordre #"
