"--Select--","--Velg--"
"Add New Option","Legg til nytt alternativ"
"Add Selection","Legg til valg"
"As low as","Fra"
"Bundle Items","Bundle artikler"
"Bundle Product","Bundle produkt"
"Buy %1$s with %2$s discount each","Kjøp %1$s med %2$s rabatt for hver"
"Checkbox","Sjekkboks"
"Choose a selection...","Velg..."
"Close","Lukk"
"Default","Standard"
"Default Qty","Standard antall"
"Default Title","Standard tittel"
"Drop-down","Dropdown"
"Dynamic","Dynamisk"
"Excl. Tax","Eks mva"
"Fixed","Fast"
"From","Fra"
"From:","Fra:"
"Gift Message","Gavemelding"
"Incl. Tax","Inkl mva"
"Input Type","Type"
"Is Required","Påkrevd"
"Message:","Melding:"
"Multiple Select","Flervalg"
"N/A","NA"
"No options of this product are available.","Ingen alternativer for dette produktet er tilgjengelig."
"None","Ingen"
"Percent","Prosent"
"Percent Discount","Prosentvis rabatt"
"Please enter search conditions to view products.","Skriv søkekriterie for å vise produkter"
"Please select options for product.","Velg alternativer for produkt."
"Please select products to add","Velg produkter som skal legges til"
"Please specify product option(s)","Velg produkt alternativ(er)"
"Position","Posisjon"
"Price Range","Pris Rekkevidde"
"Price Type","Pristype"
"Price as configured","Pris som konfigurert"
"Qty:","Antall:"
"Radio Buttons","Radio knapper"
"Required options not selected.","Påkrevd felt er ikke angitt."
"Selected required options not available.","Valgte påkrevde alternativer er ikke tilgjengelig."
"Separately","Hver for seg"
"Ship Bundle Items","Send Bundle-artikler"
"Shipment","Forsendelse"
"Store View Title","Tittel på butikkvisning"
"There is no defined renderer for ""%s"" option type","Det finnes ingen presentasjon for ""%s"" alternativ"
"This product is also part of bundle(s)","Dette produktet er ogs� den av bundle(er)"
"To","Til"
"To:","Til:"
"Together","Sammen"
"User Defined Qty","Brukerdefinert antall"
